county,race_ethnicity,status,cdc_report_dt,sex,onset_dt,state,age_group
TAYLOR,80,139,139,118,41,139,134
TERRY,0,20,20,6,17,20,12
TITUS,0,13,13,0,11,13,6
TOM GREEN,5,65,65,36,47,65,49
TRAVIS,0,58,58,39,54,58,46
TRINITY,0,9,9,0,8,9,0
TYLER,0,8,8,0,6,8,0
Tarrant,0,7,7,0,3,7,0
Travis,0,8,8,0,3,8,0
UPSHUR,0,14,14,5,12,14,5
Unknown,0,9,9,0,5,9,0
VAN ZANDT,0,13,13,0,11,13,0
VICTORIA,11,68,68,41,58,68,54
WALKER,1646,1699,1699,1667,427,1699,1683
WALLER,0,11,11,0,11,11,0
WASHINGTON,9,46,46,22,38,46,28
WEBB,332,372,372,343,344,372,353
WHARTON,0,29,29,11,28,29,11
WHEELER,0,11,11,0,10,11,0
WICHITA,23,105,105,82,89,105,87
WILBARGER,0,7,7,0,4,7,0
WILLACY,0,29,29,0,26,29,23
WILLIAMSON,85,178,178,158,170,178,171
WILSON,0,33,33,7,28,33,18
WISE,0,31,31,15,27,31,20
WOOD,0,9,9,0,8,9,0
YOAKUM,0,12,12,0,11,12,0
ZAPATA,0,12,12,0,10,12,0
