Geographic Area Name,race_pop,race_pop_hispanic_or_latino_(of_any_race),race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races
"Rockwall County, Texas",93642,16206,67046,5670,224,2300,0,57,2139
"Rusk County, Texas",53595,8855,34324,9131,78,301,22,31,853
"Throckmorton County, Texas",1567,235,1292,16,0,0,0,0,24
"Walker County, Texas",71539,12787,40510,16393,256,911,10,16,656
"Wood County, Texas",43815,4313,36273,2335,277,133,37,34,413
"Aransas County, Texas",24763,6756,16691,365,14,488,0,33,416
"Childress County, Texas",7226,2241,4172,552,69,96,0,0,96
"Coke County, Texas",3275,698,2475,20,44,6,0,0,32
"Coryell County, Texas",75389,13631,44478,9991,472,1476,569,0,4772
"Hemphill County, Texas",4061,1455,2502,34,15,24,0,0,31
"Moore County, Texas",21801,11973,7174,627,97,1713,0,0,217
"Navarro County, Texas",48583,13013,27526,6124,169,309,539,88,815
"San Augustine County, Texas",8327,583,5741,1760,111,0,0,0,132
"Shackelford County, Texas",3311,385,2830,6,10,7,0,0,73
"Starr County, Texas",63894,63299,465,21,7,69,0,12,21
"Upton County, Texas",3634,1837,1525,237,5,25,0,5,0
"Bastrop County, Texas",82577,30389,43757,6097,358,704,0,434,838
"Hall County, Texas",3074,1057,1729,239,3,9,0,0,37
"Franklin County, Texas",10679,1515,8460,408,22,5,8,0,261
"Frio County, Texas",19394,15279,3035,757,9,172,0,23,119
"Lampasas County, Texas",20640,4025,14980,903,25,208,63,78,358
"Mason County, Texas",4161,978,3029,1,12,92,0,0,49
"Dickens County, Texas",2216,673,1463,68,0,12,0,0,0
"Tarrant County, Texas",2019977,576242,958302,319829,5797,106427,3474,3976,45930
"Anderson County, Texas",57863,10142,34312,12127,158,319,9,15,781
"Jackson County, Texas",14820,4873,8717,947,0,134,8,0,141
"Milam County, Texas",24664,6459,15426,2093,28,121,0,12,525
"Comanche County, Texas",13495,3729,9438,87,54,74,0,1,112
"Brooks County, Texas",7180,6741,400,4,0,0,0,0,35
"Titus County, Texas",32730,14015,14871,2953,84,333,0,40,434
"Liberty County, Texas",81862,19098,52825,8062,311,500,8,37,1021
"Wise County, Texas",64639,12300,49868,759,258,281,114,2,1057
"Jim Wells County, Texas",41192,33060,7432,254,28,253,63,20,82
"Dimmit County, Texas",10663,9244,1008,5,0,402,0,0,4
"Fort Bend County, Texas",739342,179653,249314,149334,1652,146020,141,1583,11645
"Irion County, Texas",1524,374,1086,54,0,0,0,0,10
"Cooke County, Texas",39571,7043,29979,967,221,357,17,40,947
"Dawson County, Texas",12964,7402,4630,763,56,6,0,0,107
"Burleson County, Texas",17863,3657,11617,2240,52,40,0,8,249
"Jefferson County, Texas",255210,51461,104869,85589,428,9401,114,251,3097
"Oldham County, Texas",2090,353,1559,100,1,10,0,0,67
"El Paso County, Texas",837654,690189,102112,25430,2213,9163,1022,425,7100
"Terrell County, Texas",862,548,265,23,2,0,0,0,24
"Uvalde County, Texas",27009,19247,7223,86,107,271,0,5,70
"Archer County, Texas",8789,727,7772,76,27,47,0,0,140
"Hidalgo County, Texas",849389,781681,54299,3619,614,7779,118,254,1025
"Somervell County, Texas",8743,1648,6911,54,27,35,60,6,2
"Haskell County, Texas",5809,1665,3758,192,33,44,0,7,110
"Mills County, Texas",4902,968,3901,10,10,5,0,0,8
"Newton County, Texas",14057,497,10335,2771,21,166,0,0,267
"Kimble County, Texas",4408,1114,3193,1,17,0,0,16,67
"Van Zandt County, Texas",54368,5741,45714,1423,298,268,39,0,885
"Martin County, Texas",5614,2574,2978,48,8,4,2,0,0
"Yoakum County, Texas",8571,5643,2763,25,11,5,0,29,95
"Red River County, Texas",12275,902,8982,2080,28,6,0,0,277
"Sutton County, Texas",3865,2385,1470,3,0,0,0,0,7
"Upshur County, Texas",40769,3423,32817,3368,294,239,0,199,429
"Wharton County, Texas",41551,16983,18643,5747,27,64,0,8,79
"Borden County, Texas",665,56,595,0,0,0,0,0,14
"Marion County, Texas",10083,406,7142,2361,43,0,38,0,93
"Grayson County, Texas",128560,16817,97457,6842,1534,1805,66,201,3838
"Palo Pinto County, Texas",28317,5625,21299,628,161,217,37,19,331
"DeWitt County, Texas",20435,7132,11271,1865,7,1,0,0,159
"Callahan County, Texas",13770,1300,11900,66,11,39,0,0,454
"Gregg County, Texas",123494,22916,71387,24767,377,1641,121,144,2141
"Lubbock County, Texas",301454,105514,162667,20528,1067,6328,182,223,4945
"Kaufman County, Texas",118910,24531,77641,12799,468,1410,46,232,1783
"Floyd County, Texas",5872,3429,2184,164,8,10,0,0,77
"Chambers County, Texas",40292,8793,27186,3158,85,506,0,0,564
"Bell County, Texas",342236,83630,158804,72677,1066,9767,2156,286,13850
"Hutchinson County, Texas",21571,4959,15250,474,313,82,122,4,367
"Orange County, Texas",84047,6165,68118,7090,277,1007,0,37,1353
"Winkler County, Texas",7802,4689,2811,159,78,0,0,0,65
"Burnet County, Texas",45750,10120,33745,831,292,383,0,0,379
"Dallas County, Texas",2586552,1033000,765816,572790,5243,158780,1125,4484,45314
"McMullen County, Texas",662,332,326,0,4,0,0,0,0
"Johnson County, Texas",163475,34048,119128,4982,644,1400,607,79,2587
"Hartley County, Texas",5767,1524,3390,492,2,85,0,37,237
"Limestone County, Texas",23515,5101,13816,4058,90,177,63,60,150
"Parker County, Texas",129802,15562,108865,1762,523,644,61,147,2238
"Culberson County, Texas",2241,1646,534,3,0,12,0,0,46
"Garza County, Texas",6288,3272,2562,267,23,137,0,7,20
"Travis County, Texas",1203166,407676,590373,94922,1963,78250,368,2122,27492
"Collingsworth County, Texas",2996,834,1878,195,68,0,0,0,21
"Lamb County, Texas",13262,7325,5252,442,33,72,0,0,138
"Loving County, Texas",102,16,83,0,3,0,0,0,0
"Robertson County, Texas",16890,3481,9728,3276,35,49,22,11,288
"Taylor County, Texas",136348,32869,87125,10287,722,2909,75,289,2072
"Trinity County, Texas",14569,1420,11451,1318,48,147,0,0,185
"Bandera County, Texas",21763,4010,17032,172,88,59,0,17,385
"Cochran County, Texas",2904,1684,1068,96,0,0,0,0,56
"Comal County, Texas",135097,36612,91969,2544,97,1403,45,140,2287
"Houston County, Texas",22955,2511,14185,5676,49,72,0,9,453
"Potter County, Texas",120899,45905,53755,11591,392,6494,96,88,2578
"Scurry County, Texas",17239,6917,9158,837,13,49,0,35,230
"Stonewall County, Texas",1385,256,1075,48,0,0,0,0,6
"Brown County, Texas",37834,8299,27253,1340,140,281,0,0,521
"Bee County, Texas",32691,19152,10392,2535,186,141,4,13,268
"Crane County, Texas",4839,3080,1548,189,3,19,0,0,0
"McCulloch County, Texas",8098,2587,4945,148,2,16,0,251,149
"Lee County, Texas",16952,3970,10773,1889,0,165,0,26,129
"Ellis County, Texas",168838,43737,104141,15820,336,1104,46,159,3495
"Kerr County, Texas",51365,13702,35484,759,117,473,32,114,684
"Falls County, Texas",17299,3987,8878,4153,57,73,7,0,144
