Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Wise County, Texas",22080,1049,790,1893,2073,2959,4418,3037,3801,1012,1048,61709,79497,28781,33139,52564,40089
"Jim Wells County, Texas",13043,1576,841,1850,1500,1323,2123,1573,1370,520,367,42005,62151,21274,26676,47272,26447
"Dimmit County, Texas",3309,474,330,774,397,277,308,309,263,102,75,27832,50693,18121,20829,41473,21983
"Fort Bend County, Texas",230381,7147,4047,11051,12527,19631,35823,29557,47159,26873,36566,95561,123548,39472,46297,71336,53339
"Irion County, Texas",634,47,52,38,93,59,104,77,93,37,34,54706,75706,31449,40776,60100,33917
"Cooke County, Texas",15368,692,532,1453,1811,2470,2639,2061,2425,688,597,57646,73257,28751,32021,47181,35469
"Dawson County, Texas",4322,394,322,815,373,609,603,441,519,106,140,44657,62692,21543,26579,44051,26088
"Burleson County, Texas",6754,438,347,618,557,965,1400,990,925,308,206,56235,72427,28732,35256,49075,38347
"Jefferson County, Texas",94002,9049,5294,11196,10228,12312,15946,10165,11636,4656,3520,48463,68549,26205,31505,49828,37419
"Oldham County, Texas",527,33,10,62,33,57,128,75,43,45,41,63315,87324,24151,30709,45972,31750
"El Paso County, Texas",265724,23295,17387,33399,31324,40687,48631,27591,27684,9163,6563,44597,60632,20763,25578,38598,31418
"Terrell County, Texas",396,83,2,79,34,69,29,39,53,5,3,33750,48627,23852,35329,73304,30262
"Uvalde County, Texas",8683,621,852,1268,1033,1349,1452,1004,741,242,121,41752,53379,19092,22076,37407,25009
"Archer County, Texas",3332,125,199,289,393,345,550,462,626,198,145,64476,80073,31806,32469,49105,37377
"Hidalgo County, Texas",234879,27667,19576,34297,27818,30516,37980,22272,21941,7541,5271,38398,56090,16490,21866,35026,28811
"Somervell County, Texas",3239,169,201,473,224,492,491,384,509,188,108,53162,68502,26523,30574,63241,30517
"Haskell County, Texas",2125,204,152,316,265,224,492,201,197,43,31,46013,53831,21308,26002,37900,30476
"Mills County, Texas",1750,178,95,280,183,240,359,177,106,61,71,41827,60535,24274,23375,36765,36603
"Newton County, Texas",4978,467,315,888,535,707,800,485,569,151,61,40950,54380,21144,30362,51548,31327
"Kimble County, Texas",1948,147,114,208,296,384,311,196,154,37,101,42500,64992,28899,23284,34747,23662
"Van Zandt County, Texas",19615,1113,990,2441,2043,2798,3966,2371,2470,778,645,51935,69340,26151,30777,45337,35293
"Martin County, Texas",1626,72,50,142,141,229,233,214,217,146,182,69722,94582,29225,32131,53162,36635
"Yoakum County, Texas",2676,66,197,162,203,248,650,298,557,153,142,68814,82418,26519,43250,68603,36103
"Red River County, Texas",5048,522,424,660,725,692,944,525,444,65,47,37955,50123,21666,26969,40186,29032
"Sutton County, Texas",1484,109,28,147,130,244,286,156,252,113,19,60543,71175,29360,33276,54185,33618
"Upshur County, Texas",14036,943,773,1437,1477,2309,2505,1891,1826,415,460,50906,66328,24458,29996,46059,30788
"Wharton County, Texas",15256,1125,1103,1757,1371,2316,2769,1405,2053,1012,345,49619,70765,26281,29122,43442,31191
"Borden County, Texas",261,7,10,10,16,25,49,45,80,10,9,81985,85046,33781,48405,54375,41094
"Marion County, Texas",4459,468,398,689,543,781,552,398,279,128,223,37283,60527,27052,28721,43750,30370
"Grayson County, Texas",47957,3175,2372,4788,4858,6977,8469,7223,5982,2614,1499,54370,70460,27276,30519,45691,35604
"Palo Pinto County, Texas",10312,724,643,1471,1027,1614,1834,1092,1168,346,393,45979,64671,24983,27099,43976,29479
"DeWitt County, Texas",7088,459,575,668,773,885,1199,891,885,244,509,53779,81174,28728,31431,46202,30306
"Callahan County, Texas",5319,654,259,648,577,726,1029,609,458,251,108,44602,59335,24537,30114,41783,30405
"Gregg County, Texas",45532,3422,2400,5200,5394,6809,8496,4784,5610,1918,1499,49287,67886,25839,27262,46156,35192
"Lubbock County, Texas",112185,10219,5492,12064,12034,15870,19608,13614,13681,4690,4913,50473,71043,27089,26321,45699,35418
"Kaufman County, Texas",37364,1850,1531,2857,3098,4815,6821,4540,7606,2822,1424,65390,81752,27411,35454,52527,41538
"Floyd County, Texas",2328,190,156,304,208,343,520,308,214,44,41,48555,57642,23308,28919,41493,29474
"Chambers County, Texas",13529,728,679,985,1064,1562,1600,1538,2461,1585,1327,76850,98290,34372,40931,75949,40444
"Bell County, Texas",120241,7726,4839,11280,12748,18108,25214,16573,15605,4389,3759,54184,69605,25911,30068,42257,35690
"Hutchinson County, Texas",7191,536,522,728,663,1109,1181,929,943,430,150,50651,65818,24725,28051,52628,30403
"Orange County, Texas",31989,1946,1743,2799,3487,4612,5485,3820,4871,2053,1173,55700,74104,28826,35328,59191,37068
"Winkler County, Texas",2572,212,156,180,286,356,409,398,385,98,92,59167,70223,24217,36946,60245,30938
"Burnet County, Texas",16849,581,692,1847,1679,2231,3469,2362,2399,658,931,59238,79066,30507,27171,46182,36201
"Dallas County, Texas",917276,56186,38084,86536,94733,128009,171046,108993,119771,50048,63870,56854,85064,31219,32067,42810,40218
"McMullen County, Texas",223,16,14,6,10,42,45,26,23,16,25,68750,91265,32556,35500,58750,31875
"Johnson County, Texas",56433,2244,1917,4668,5002,7878,11537,8339,9364,3263,2221,62066,78174,27667,36444,49563,38541
"Hartley County, Texas",1681,41,5,151,176,315,421,193,311,17,51,59280,73285,20480,37096,42045,37361
"Limestone County, Texas",8169,664,530,1097,1152,1263,1608,669,777,281,128,42680,57409,21822,25553,36608,31293
"Parker County, Texas",44255,1976,1051,2584,3378,5532,7717,5585,8725,3764,3943,74625,97384,34705,37951,62700,39530
"Culberson County, Texas",681,67,56,156,71,106,115,53,53,2,2,33417,42536,15873,20055,29893,19914
"Garza County, Texas",1628,91,92,86,175,357,303,261,201,22,40,55039,71609,19177,25668,36124,31192
"Travis County, Texas",458484,25185,13833,30702,35855,52824,80575,56305,76961,35361,50883,71767,103148,41049,39153,54718,47395
"Collingsworth County, Texas",1055,83,42,152,194,135,199,147,50,27,26,42750,60536,22880,22417,34964,26613
"Lamb County, Texas",4754,334,485,542,616,713,948,436,478,72,130,43396,57348,21506,27217,40910,31167
"Loving County, Texas",33,0,3,0,3,3,6,2,16,0,0,81875,75148,23546,-666666666,101667,61250
"Robertson County, Texas",6358,487,357,647,694,865,1164,872,935,163,174,54201,67074,25465,27321,50608,28707
"Taylor County, Texas",49482,3105,2676,5010,5820,7781,9267,5453,6593,1934,1843,50818,69401,26469,26918,41458,31559
"Trinity County, Texas",5918,467,441,916,818,941,1123,489,426,261,36,40407,51359,22265,27352,45856,31094
"Bandera County, Texas",8242,436,453,810,670,1382,1670,1022,1073,337,389,53683,70305,28539,27075,47575,37390
"Cochran County, Texas",996,90,112,126,97,141,152,101,117,49,11,42798,57710,21014,30918,40234,32976
"Comal County, Texas",48903,2017,1437,2986,3659,5974,8230,7418,8321,3838,5023,75356,98131,36899,36948,55209,43405
"Houston County, Texas",8209,833,862,1293,1166,1248,1461,584,599,79,84,34297,47354,18080,22610,31213,24452
"Potter County, Texas",43944,3639,2891,5784,5955,6441,8617,4180,3986,1087,1364,43157,60730,22267,27606,39537,30930
"Scurry County, Texas",5884,185,433,551,786,701,1072,809,903,310,134,55889,69935,24508,35319,54349,32472
"Stonewall County, Texas",582,36,50,89,63,61,79,84,47,50,23,48000,66282,28746,26401,64213,29432
"Brown County, Texas",14016,1033,705,1708,2015,2068,2654,1500,1532,368,433,45457,64580,25145,28531,41504,31092
"Bee County, Texas",8537,1002,575,1104,924,1411,1469,668,827,286,271,42032,60273,17390,23636,46326,28808
"Crane County, Texas",1422,77,29,154,51,120,328,240,303,53,67,70398,79681,26113,34238,57929,28816
"McCulloch County, Texas",3255,275,203,386,347,534,732,362,286,35,95,45329,58607,24409,26869,45357,26534
"Lee County, Texas",6104,376,445,598,491,866,1354,803,686,296,189,55000,67793,25876,31188,47531,33876
"Ellis County, Texas",55840,1972,1861,3719,4313,6129,10812,8484,10267,4812,3471,72213,90350,30727,36752,53656,43455
"Kerr County, Texas",20766,992,814,2202,2562,3448,3852,2838,2414,967,677,52473,73327,30498,27148,41314,37059
"Falls County, Texas",5237,806,392,566,676,818,852,505,458,118,46,38032,49617,17830,25760,31817,35503
