Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Madison County, Texas",4201,276,265,530,579,472,808,315,676,170,110,49428,65516,17856,26016,46455,26530
"Jack County, Texas",3160,212,143,423,384,350,644,320,443,104,137,51700,68400,25626,32456,56388,34067
"Kendall County, Texas",14159,527,307,639,1205,1303,2435,1876,2587,1281,1999,82390,120877,43241,37021,64886,45371
"Bosque County, Texas",7088,326,336,858,802,1144,1428,883,879,223,209,50882,65377,26039,27515,42188,35702
"Bexar County, Texas",632574,45419,29186,62202,63892,84130,118346,79146,87038,31270,31945,55456,76006,26988,30196,43005,37258
"Bailey County, Texas",2111,119,109,174,393,381,322,251,201,110,51,46485,62434,21449,28543,40411,28184
"Baylor County, Texas",1474,78,144,156,249,221,177,202,161,25,61,40750,60098,25264,28344,41719,34821
"Cameron County, Texas",123185,15581,10253,18048,15287,16034,19950,11427,10744,3505,2356,37132,53211,16587,22122,32335,27248
"Denton County, Texas",283250,10133,5902,15106,18475,30850,46764,37790,56131,29352,32747,83376,108579,39535,41981,64216,49842
"Washington County, Texas",12381,789,647,1343,1323,1479,2512,1612,1474,494,708,56237,76880,29604,30473,45341,32154
"Morris County, Texas",5048,384,340,627,654,960,854,537,493,133,66,42961,56797,23438,27764,40670,30141
"Stephens County, Texas",3268,295,258,282,400,669,509,297,331,107,120,45336,62311,24405,28803,49848,32279
"Harris County, Texas",1583486,96861,64276,148086,154564,201347,277335,185201,224530,98609,132677,60146,89270,31901,33173,49579,41028
"Andrews County, Texas",5508,302,171,291,525,686,841,728,1214,398,352,74233,94962,31190,40478,72970,35194
"Gillespie County, Texas",10717,520,492,1171,1191,1299,2140,1105,1615,505,679,58325,80569,33515,25433,47274,36044
"Gonzales County, Texas",7214,392,438,796,865,913,1534,833,794,345,304,53006,73239,26618,30835,40978,31465
"Lynn County, Texas",2133,184,184,283,202,339,290,171,300,66,114,43524,66719,25279,28134,40344,31563
"Young County, Texas",7105,414,324,757,876,1325,1272,768,1066,172,131,47194,64653,25855,30734,49142,27542
"Zapata County, Texas",4405,714,275,700,720,690,504,427,215,78,82,31113,52009,17228,18938,36461,24946
"Hood County, Texas",21969,1247,851,2192,2024,3175,3842,2473,3528,1469,1168,59049,80447,32727,35806,52808,37651
"Hopkins County, Texas",13405,881,654,1529,1665,1695,2775,1562,1577,567,500,51877,69253,26267,29824,47254,31592
"Ochiltree County, Texas",3443,144,146,426,471,538,629,409,428,111,141,49928,70352,24260,27691,51412,24735
"King County, Texas",91,0,3,0,13,24,15,13,18,0,5,65125,75557,31564,36964,42250,32250
"Knox County, Texas",1330,115,55,181,191,167,214,205,153,31,18,46146,57553,21796,29537,43333,37692
"McLennan County, Texas",89034,8072,4770,10774,10095,12112,15229,9979,11162,3631,3210,48199,66650,24826,26472,42600,33357
"Cherokee County, Texas",17940,1188,1153,2366,2010,2934,3537,1808,1722,829,393,46044,60376,21520,27466,40581,33459
"Concho County, Texas",873,66,67,128,116,93,175,63,126,13,26,43355,61808,17684,23994,33772,20735
"Delta County, Texas",2015,158,134,170,309,289,298,281,229,85,62,46138,63240,25004,27575,52143,36349
"Edwards County, Texas",686,68,50,93,107,52,140,71,44,24,37,40313,62107,29814,21774,35163,33487
"Eastland County, Texas",6460,695,457,1246,793,1023,945,373,498,220,210,35325,60741,23940,22690,48326,30581
"Jones County, Texas",5593,383,389,538,722,933,960,665,624,235,144,45694,64904,17673,26166,47568,33987
"Reeves County, Texas",3713,368,166,329,343,450,773,615,436,146,87,58384,67979,20876,29278,49160,35789
"Sabine County, Texas",4099,421,284,811,652,416,627,366,271,140,111,33257,54131,23450,21209,54908,28319
"Sherman County, Texas",1055,42,43,102,130,144,218,146,148,46,36,56576,71238,26335,30670,44653,32679
