Geographic Area Name,total_cases,total_fatalities,death_rate,total_tests
"Jack County, Texas",151,3,0.019867549668874173,571
"Jackson County, Texas",646,16,0.02476780185758514,3791
"Jasper County, Texas",512,34,0.06640625,7605
"Jeff Davis County, Texas",21,0,0.0,456
"Jefferson County, Texas",8245,152,0.018435415403274712,89254
"Jim Hogg County, Texas",168,6,0.03571428571428571,3240
"Jim Wells County, Texas",1566,52,0.033205619412515965,23923
"Johnson County, Texas",3588,64,0.017837235228539576,40672
"Jones County, Texas",585,2,0.003418803418803419,2617
"Karnes County, Texas",949,17,0.01791359325605901,7882
"Kaufman County, Texas",3499,56,0.01600457273506716,35096
"Kendall County, Texas",381,10,0.026246719160104987,8668
"Kenedy County, Texas",11,2,0.18181818181818182,86
"Kent County, Texas",10,0,0.0,183
"Kerr County, Texas",693,13,0.01875901875901876,19225
"Kimble County, Texas",24,1,0.041666666666666664,1023
"King County, Texas",1,0,0.0,21
"Kinney County, Texas",73,1,0.0136986301369863,594
"Kleberg County, Texas",1015,52,0.05123152709359606,15474
"Knox County, Texas",113,9,0.07964601769911504,552
"La Salle County, Texas",366,13,0.03551912568306011,6929
"Lamar County, Texas",1729,46,0.026604973973395025,2993
"Lamb County, Texas",507,24,0.047337278106508875,5349
"Lampasas County, Texas",304,9,0.029605263157894735,3565
"Lavaca County, Texas",1126,39,0.03463587921847247,6374
"Lee County, Texas",239,14,0.058577405857740586,3182
"Leon County, Texas",336,11,0.03273809523809524,3901
"Liberty County, Texas",2283,58,0.025405168637757335,24660
"Limestone County, Texas",671,16,0.02384500745156483,9203
"Lipscomb County, Texas",68,1,0.014705882352941176,167
"Live Oak County, Texas",381,10,0.026246719160104987,1941
"Llano County, Texas",172,3,0.01744186046511628,4308
"Loving County, Texas",0,0,,9
"Lubbock County, Texas",16911,165,0.00975696292354089,113428
"Lynn County, Texas",163,5,0.03067484662576687,1887
"Madison County, Texas",753,6,0.00796812749003984,1028
"Marion County, Texas",170,14,0.08235294117647059,10893
"Martin County, Texas",89,7,0.07865168539325842,22399
"Mason County, Texas",80,2,0.025,1086
"Matagorda County, Texas",1094,53,0.048446069469835464,91904
"Maverick County, Texas",4182,146,0.034911525585844094,158
"McCulloch County, Texas",202,4,0.019801980198019802,7613
"McLennan County, Texas",9772,131,0.013405648792468276,1018
"McMullen County, Texas",24,1,0.041666666666666664,661
"Medina County, Texas",1274,48,0.03767660910518053,11077
"Menard County, Texas",62,0,0.0,1017
"Midland County, Texas",4771,76,0.015929574512680778,26558
"Milam County, Texas",545,7,0.012844036697247707,7393
"Mills County, Texas",74,1,0.013513513513513514,1636
"Mitchell County, Texas",179,2,0.0111731843575419,2447
"Montague County, Texas",270,5,0.018518518518518517,3317
"Montgomery County, Texas",12920,173,0.013390092879256965,137429
"Moore County, Texas",1317,22,0.016704631738800303,4979
"Morris County, Texas",217,5,0.02304147465437788,2156
"Motley County, Texas",17,0,0.0,346
"Nacogdoches County, Texas",1781,68,0.0381807973048849,20657
"Navarro County, Texas",1417,32,0.022582921665490474,12030
"Newton County, Texas",188,13,0.06914893617021277,2204
"Nolan County, Texas",405,5,0.012345679012345678,2710
"Nueces County, Texas",16171,407,0.025168511532991156,121056
"Ochiltree County, Texas",302,5,0.016556291390728478,307
"Oldham County, Texas",27,2,0.07407407407407407,420
"Orange County, Texas",2160,46,0.021296296296296296,13878
"Palo Pinto County, Texas",700,17,0.024285714285714285,5029
"Panola County, Texas",466,28,0.060085836909871244,4074
"Parker County, Texas",2400,47,0.019583333333333335,22911
"Parmer County, Texas",570,18,0.031578947368421054,1200
"Pecos County, Texas",474,7,0.014767932489451477,4645
"Polk County, Texas",912,35,0.03837719298245614,15043
"Potter County, Texas",7682,90,0.01171569903670919,42014
"Presidio County, Texas",128,7,0.0546875,2338
"Rains County, Texas",86,5,0.05813953488372093,1003
"Randall County, Texas",4883,54,0.011058775343026827,23477
"Reagan County, Texas",92,6,0.06521739130434782,728
"Real County, Texas",123,8,0.06504065040650407,618
"Red River County, Texas",196,17,0.08673469387755102,2008
"Reeves County, Texas",258,7,0.027131782945736434,2212
"Refugio County, Texas",308,16,0.05194805194805195,2472
"Roberts County, Texas",14,0,0.0,66
"Robertson County, Texas",417,4,0.009592326139088728,5317
"Rockwall County, Texas",1896,32,0.016877637130801686,22831
"Runnels County, Texas",296,9,0.030405405405405407,2974
"Rusk County, Texas",992,21,0.021169354838709676,9435
"Sabine County, Texas",92,9,0.09782608695652174,2390
"San Augustine County, Texas",214,15,0.07009345794392523,1849
"San Jacinto County, Texas",236,11,0.046610169491525424,7218
"San Patricio County, Texas",1572,80,0.05089058524173028,16948
"San Saba County, Texas",117,1,0.008547008547008548,1132
"Schleicher County, Texas",55,2,0.03636363636363636,462
"Scurry County, Texas",1074,14,0.01303538175046555,3119
"Shackelford County, Texas",39,0,0.0,390
"Shelby County, Texas",542,30,0.055350553505535055,6440
"Sherman County, Texas",77,1,0.012987012987012988,100
"Smith County, Texas",4317,134,0.03104007412555015,73163
"Somervell County, Texas",156,5,0.03205128205128205,1729
"Starr County, Texas",3534,185,0.052348613469156764,17812
"Stephens County, Texas",160,4,0.025,1120
"Sterling County, Texas",13,0,0.0,402
"Stonewall County, Texas",19,1,0.05263157894736842,78
"Sutton County, Texas",108,3,0.027777777777777776,650
"Swisher County, Texas",146,3,0.02054794520547945,2116
"Tarrant County, Texas",56578,814,0.01438721764643501,529568
"Taylor County, Texas",1879,64,0.034060670569451834,38591
"Terrell County, Texas",4,0,0.0,48
"Terry County, Texas",493,8,0.016227180527383367,1964
"Throckmorton County, Texas",17,2,0.11764705882352941,118
"Titus County, Texas",1583,35,0.022109917877447885,7708
"Tom Green County, Texas",2577,77,0.029879705083430345,36996
"Travis County, Texas",31411,442,0.014071503613383846,340665
"Trinity County, Texas",206,7,0.03398058252427184,3799
"Tyler County, Texas",260,4,0.015384615384615385,5175
"Upshur County, Texas",483,13,0.026915113871635612,4718
"Upton County, Texas",27,3,0.1111111111111111,536
"Uvalde County, Texas",828,36,0.043478260869565216,5864
"Val Verde County, Texas",2489,125,0.0502209722780233,11416
"Van Zandt County, Texas",668,26,0.038922155688622756,6628
"Victoria County, Texas",4248,97,0.02283427495291902,21001
"Walker County, Texas",3932,62,0.015768056968463885,48875
"Waller County, Texas",959,17,0.017726798748696558,10369
"Ward County, Texas",158,1,0.006329113924050633,1742
"Washington County, Texas",694,48,0.069164265129683,10716
"Webb County, Texas",15011,329,0.02191726067550463,86659
"Wharton County, Texas",1420,58,0.04084507042253521,14004
"Wheeler County, Texas",76,0,0.0,1049
"Wichita County, Texas",3486,33,0.00946643717728055,41312
"Wilbarger County, Texas",336,3,0.008928571428571428,3821
"Willacy County, Texas",1222,55,0.045008183306055646,9635
"Williamson County, Texas",9335,152,0.01628280664167113,132622
"Wilson County, Texas",991,28,0.028254288597376387,10153
"Winkler County, Texas",140,4,0.02857142857142857,425
"Wise County, Texas",908,15,0.016519823788546256,16302
"Wood County, Texas",626,39,0.06230031948881789,6844
"Yoakum County, Texas",289,6,0.020761245674740483,1531
"Young County, Texas",535,8,0.014953271028037384,3363
"Zapata County, Texas",345,9,0.02608695652173913,4355
"Zavala County, Texas",460,18,0.0391304347826087,2520
