Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Austin County, Texas",29565,14684,14881,1780,1960,2118,1861,1712,3339,3275,3821,2327,1978,3243,1532,619,40.7
"Kenedy County, Texas",595,286,309,85,37,40,10,10,95,47,75,51,9,85,29,22,39.5
"Nueces County, Texas",360486,178020,182466,24665,25055,24806,25524,26397,52547,45030,43503,22563,21051,28881,15165,5299,35.3
"Colorado County, Texas",21022,10538,10484,1363,1288,1493,1397,1145,2054,2233,2440,1280,1866,2467,1356,640,42.5
"San Patricio County, Texas",67046,33721,33325,4947,4887,5259,4824,4393,8923,8328,8078,4417,3367,5759,2935,929,35.3
"Rains County, Texas",11473,5868,5605,566,652,697,578,507,1126,1243,1429,1088,766,1764,917,140,48.3
"Randall County, Texas",132475,65083,67392,8654,9438,8475,9750,9207,19349,16814,15641,8242,7991,11020,5821,2073,35.6
"Real County, Texas",3389,1426,1963,228,193,121,217,190,252,260,234,301,276,529,476,112,55.0
"San Saba County, Texas",5962,3073,2889,315,239,455,273,441,760,769,594,376,398,746,475,121,40.7
"Schleicher County, Texas",3061,1542,1519,187,252,273,174,174,471,290,344,187,224,281,147,57,35.0
"Sterling County, Texas",1141,622,519,69,109,63,94,24,106,109,205,157,46,100,41,18,44.9
"Zavala County, Texas",12131,6208,5923,925,1115,977,783,1182,1479,1420,1354,666,565,954,543,168,32.9
"Calhoun County, Texas",21807,11062,10745,1488,1533,1503,1580,1228,2795,2530,2732,1646,1103,2076,1041,552,37.7
"Carson County, Texas",6032,2820,3212,365,435,455,465,280,704,706,739,431,395,596,336,125,40.3
"Foard County, Texas",1408,712,696,62,65,87,100,47,87,181,214,104,82,162,160,57,49.3
"Freestone County, Texas",19709,10163,9546,1153,1358,1204,1188,952,2634,2473,2348,1413,1199,2132,1238,417,40.4
"Goliad County, Texas",7531,3734,3797,312,526,530,395,511,672,756,994,684,536,841,683,91,46.0
"Hamilton County, Texas",8269,4070,4199,469,502,454,513,406,832,893,929,641,548,1050,599,433,46.0
"Hardeman County, Texas",3952,1938,2014,196,291,307,199,237,465,401,530,225,302,457,219,123,42.4
"Mitchell County, Texas",8558,5383,3175,446,474,401,486,982,1619,1153,927,434,338,639,443,216,34.1
"Briscoe County, Texas",1546,831,715,82,67,74,93,134,150,149,215,118,100,182,149,33,46.3
"Lavaca County, Texas",19941,9684,10257,1189,1405,1388,1193,1034,2062,1939,2394,1318,1470,2356,1483,710,43.5
"Terry County, Texas",12615,6515,6100,1008,1006,928,913,731,1824,1406,1500,724,654,1063,642,216,34.7
"Jeff Davis County, Texas",2234,1114,1120,61,108,160,142,57,138,202,251,177,232,541,131,34,54.8
"Jim Hogg County, Texas",5282,2550,2732,412,366,514,539,303,525,569,398,350,374,522,328,82,34.7
"Montgomery County, Texas",554445,274604,279841,37835,41459,42853,38640,32889,70249,76216,76447,37260,31124,43917,18995,6561,36.9
"Dallam County, Texas",7243,3795,3448,692,634,663,581,294,1143,680,1027,454,324,422,255,74,31.6
