county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density
"Orange County, California",57928.0,1444.0,0.024927496202182015,955802,3164182,1080195,1296036,50412,6348,629637,8541,5881,87132,3164182,1562429,1601753,188956,189548,206380,208793,218993,453121,415919,453608,211722,176654,249211,131180,60097,37.8,792.7819999999998,0.078,3147477,2881804,2116269,1015430,265673,1032373,43771,30304,62835,66044,96088,157083,132431,189165,107421,147231,85398,117194,39590,60553,50816,2.4927496202182016,1.830741720925029,30.206922357816335,3991.2384489052483
"Mono County, California",167.0,2.0,0.011976047904191616,5572,14174,3866,9234,40,342,336,0,80,276,14174,7341,6833,464,786,911,630,1341,2264,1563,1964,1314,907,1385,568,77,38.3,3048.987,0.1,14059,11724,9166,4150,2335,4847,140,102,267,339,745,1243,801,765,218,227,63018,80008,33421,41886,44138,1.1976047904191616,1.1782136305912234,39.311415267391,4.648757111788276
"Calaveras County, California",274.0,18.0,0.06569343065693431,10811,45235,5297,36905,299,374,568,126,52,1614,45235,22434,22801,1936,2398,1926,2319,2054,3929,4212,5878,3966,4403,7469,3517,1228,52.1,1020.016,0.07400000000000001,44842,42509,29289,22096,2333,17417,753,792,1681,1800,2475,2918,2241,2558,1375,824,58151,79782,32494,60251,42342,6.569343065693431,0.6057256549132308,23.89963523820051,44.34734357108124
"Alpine County, California",3.0,0.0,0.0,371,1146,105,678,9,294,8,0,0,52,1146,612,534,39,58,79,114,72,91,140,83,68,109,192,66,35,44.3,738.34,0.046,1146,1028,551,605,118,299,11,20,22,32,37,51,27,51,26,22,64688,92738,29041,51250,31364,0.0,0.2617801047120419,32.37347294938918,1.5521304548040198
"Nevada County, California",608.0,8.0,0.013157894736842105,29739,99092,9281,84470,601,570,989,154,130,2897,99092,48889,50203,4221,4656,5063,5249,4126,9903,10823,11994,8407,9473,15491,6588,3098,50.1,957.76,0.035,98103,90498,66296,42920,7605,40904,2085,1934,3463,3675,5387,6765,5233,6652,2738,2972,63240,86798,37145,57622,51085,1.3157894736842104,0.6135712267387882,30.011504460501353,103.46224523889074
"Butte County, California",3078.0,52.0,0.01689408706952566,68116,227075,36358,164390,3303,1738,9900,341,406,10639,227075,112513,114562,12523,13858,11572,15615,25617,28693,24065,25068,15004,14841,23163,11730,5326,37.1,1636.47,0.093,224510,207949,135747,105345,16561,86797,6590,6413,10660,8764,12152,14353,9407,10558,4115,3785,48443,69621,27537,50252,40722,1.689408706952566,1.3554992843774083,29.997137509633383,138.75903621820137
"Santa Cruz County, California",2775.0,25.0,0.009009009009009007,82057,273765,91676,157540,2359,360,12116,168,554,8992,273765,135727,138038,14535,14511,15516,22731,27607,33557,31870,34702,19532,18203,25867,10581,4553,37.4,445.124,0.055,272297,255293,191239,95639,17004,95756,4893,4046,7091,6734,9176,14353,11540,15655,8902,13366,78041,109141,39001,60827,50855,0.9009009009009007,1.0136430880499698,29.97351743283473,615.030867803129
"Mendocino County, California",1022.0,21.0,0.02054794520547945,35337,87422,21679,57314,511,2839,1667,170,180,3062,87422,43439,43983,5143,5838,4704,5160,4778,9969,10119,10569,6405,6892,11538,4309,1998,42.8,3506.359000000001,0.084,86575,78510,43387,47743,8065,34090,2289,2555,3968,3889,4577,6425,3957,3994,1280,1156,49233,67340,27395,41021,36437,2.054794520547945,1.1690421175447827,40.42117544782778,24.932415648255063
"Fresno County, California",30752.0,436.0,0.014177939646201876,353760,978130,515907,291455,44474,4458,97991,1104,1864,20877,978130,487936,490194,78636,78627,78151,71970,74241,148512,120605,111792,53835,47323,66238,32360,15840,32.0,5958.099,0.096,966908,874873,500245,471275,92035,304624,21380,19989,35375,33605,38742,53091,35192,38001,15704,13545,51261,71663,23284,43618,39089,1.4177939646201876,3.1439583695418807,36.16697167043236,164.16813483629593
"Inyo County, California",226.0,15.0,0.06637168141592921,5314,18085,3927,11389,160,1944,289,35,28,313,18085,9084,9001,1011,1108,888,1055,779,2047,2018,2120,1404,1507,2321,1247,580,45.7,10180.938,0.09,17681,16556,12290,7352,1125,8083,240,574,794,1064,1184,1667,910,1085,300,265,52874,68448,31540,59444,41925,6.637168141592921,1.2496544097318218,29.383466961570363,1.776358917027095
"San Joaquin County, California",21458.0,489.0,0.02278870351384099,239765,732212,301256,237887,49926,1536,110164,3959,1069,26415,732212,364612,367600,52723,57384,56988,55240,51640,101222,94351,92011,42250,38942,52720,25773,10968,34.1,1392.386,0.098,723069,669097,426019,311190,53972,226727,11947,11352,21842,20742,28173,40017,28778,35403,15258,13215,61145,81297,26145,50117,41465,2.278870351384099,2.930572020125319,32.7452978099239,525.8685450729898
"Ventura County, California",14240.0,164.0,0.011516853932584269,344102,848112,360017,388301,13677,2299,60242,1406,1016,21154,848112,419588,428524,51709,53476,59175,57639,59428,112151,105619,116202,59504,49774,71153,35016,17266,37.9,1842.467,0.077,841489,763015,570372,277881,78474,271226,8653,7711,16744,17921,26844,42811,38297,51509,27073,33663,84017,110792,36891,57726,49285,1.151685393258427,1.6790235251947856,40.57270737827079,460.31326476946396
"Trinity County, California",25.0,0.0,0.0,3634,12862,930,10607,87,574,179,158,27,300,12862,6582,6280,571,646,523,752,404,1057,1418,1661,1076,1365,2067,1055,267,51.8,3179.268,0.065,12691,11256,6521,7002,1435,5796,577,504,867,769,803,955,556,493,164,108,38497,54856,25964,50189,33409,0.0,0.19437101539418442,28.253770797698646,4.045585335995582
"Mariposa County, California",77.0,2.0,0.025974025974025976,5100,17540,1909,14125,166,390,243,54,20,633,17540,8920,8620,762,761,751,804,803,1885,1614,2284,1503,1683,2778,1556,356,51.4,1448.838,0.053,17370,16526,11650,8584,844,7700,494,484,934,711,1133,1465,1060,873,384,162,51199,64590,29776,44969,41533,2.5974025974025974,0.4389965792474344,29.076396807297606,12.106253425158645
"El Dorado County, California",1317.0,4.0,0.0030372057706909645,50633,186661,23631,145990,1432,939,8237,396,184,5852,186661,93040,93621,8672,10025,11954,11579,9715,18743,20562,26817,16226,15617,22676,10245,3830,45.8,1707.842,0.059,185338,175682,139840,67750,9656,69172,2593,2436,5100,4889,6834,10639,8942,12881,6287,8571,80582,104895,40382,72312,53876,0.30372057706909644,0.7055571329843942,27.125644885648313,109.29641032367162
"Sonoma County, California",9179.0,134.0,0.0145985401459854,189194,501317,132985,318237,7192,2068,19720,1406,2501,17208,501317,245196,256121,25736,28607,28944,29922,30140,65417,61766,66429,35686,37573,55520,23956,11621,41.7,1575.8729999999996,0.068,497067,462681,353511,179416,34386,189339,7132,6950,13121,13538,19516,32265,27194,33102,17769,18752,76753,102483,39929,56448,49937,1.45985401459854,1.8309772060392926,37.73939443505805,318.1201784661582
"Shasta County, California",1878.0,30.0,0.01597444089456869,47358,179085,17605,143575,2140,4014,5326,182,151,6092,179085,87859,91226,10520,10893,10500,10808,10213,22779,19093,22249,12939,13470,20852,10598,4171,41.8,3775.396,0.105,177648,164382,107603,85500,13266,70473,4231,4935,7857,7541,10154,13004,8110,8201,3722,2718,50905,69130,27983,51045,38344,1.5974440894568689,1.048664042214591,26.444425831309154,47.434759161687936
"Lassen County, California",764.0,1.0,0.0013089005235602095,21067,31185,5834,20528,2695,847,436,205,22,618,31185,20671,10514,1384,1272,1477,1444,3218,6287,4353,3899,1803,1891,2504,1250,403,36.0,4541.185,0.145,21376,20160,15112,8672,1216,9493,497,609,941,909,1150,1979,1171,1388,599,250,56362,71097,21897,58358,45974,0.13089005235602094,2.4498957832291164,67.55491422158089,6.867150314290212
"Colusa County, California",548.0,6.0,0.010948905109489052,5629,21464,12655,7672,277,159,324,53,30,294,21464,11124,10340,1589,1708,1639,1538,1356,2878,2523,2641,1494,1132,1768,860,338,35.1,1150.713,0.147,21297,19094,11301,10046,2203,7113,252,363,890,735,984,1346,1073,781,398,291,56704,82313,27336,41323,32389,1.094890510948905,2.5531121878494223,26.225307491613865,18.65278310056461
"Lake County, California",696.0,15.0,0.02155172413793104,21300,64148,12830,45623,1426,2090,642,30,142,1365,64148,31879,32269,3683,3828,3496,3516,3231,6973,6706,8097,5137,5540,8591,3975,1375,45.6,1256.517,0.079,63451,57446,30642,37606,6005,25966,2374,2051,3203,3247,3607,4030,3178,2609,959,708,42475,60847,25404,43516,36940,2.155172413793104,1.0849909584086799,33.20446467543805,51.05223407243992
"Modoc County, California",28.0,0.0,0.0,1863,8938,1292,6962,149,291,130,6,4,104,8938,4613,4325,402,556,464,491,252,1115,873,1050,691,751,1351,690,252,47.7,3915.447,0.083,8714,7646,4292,4697,1068,3660,288,166,502,574,481,734,424,382,81,28,45149,54126,23235,40600,28846,0.0,0.3132691877377489,20.84358916983665,2.2827534123179296
"Tulare County, California",17406.0,286.0,0.016431115707227394,162667,460477,295149,133617,5870,2769,14800,584,877,6811,460477,230255,230222,38504,40849,40772,37292,33987,64943,57243,51482,23979,21035,29507,14406,6478,30.8,4824.379,0.109,456524,411745,202018,244422,44779,136106,9449,9406,17255,15152,19769,24041,15118,15304,5448,5164,47518,66651,20421,40208,35317,1.6431115707227395,3.779993354716957,35.32576002710233,95.44793226236993
"San Benito County, California",1417.0,15.0,0.01058574453069866,23943,59416,35248,20780,434,193,1705,79,84,893,59416,29626,29790,3902,4187,4678,4469,4104,7890,7645,8149,3850,3348,4278,2031,885,35.5,1388.652,0.091,59259,54893,38962,21434,4366,17740,295,594,938,1125,1939,3198,2420,3849,1766,1616,81977,101057,31475,54753,42542,1.058574453069866,2.38487949373906,40.29722633634038,42.78681771963026
