county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density
"Sumter County, Florida",2849.0,84.0,0.02948402948402948,26820,120999,6841,102747,8684,336,1027,44,80,1240,120999,60725,60274,2142,2201,3026,2795,2505,6715,7794,8453,6835,11262,41124,21000,5147,67.0,557.113,0.103,111788,104907,75820,75483,6881,54636,2701,2561,4638,5950,8458,11617,8162,6485,2482,1582,55228,71108,33629,38671,34711,2.9484029484029484,2.354564913759618,22.165472441921008,217.18933142827396
"Suwannee County, Florida",2972.0,77.0,0.025908479138627188,12339,43924,3962,33222,5704,42,43,0,0,951,43924,22230,21694,2157,2885,3017,2045,2851,5189,5242,5671,3076,2955,5101,2865,870,42.5,688.552,0.12,42426,36529,23306,19966,5897,15083,1424,1096,1828,1900,2543,2845,1778,1068,261,340,42686,57639,21755,36708,29180,2.590847913862719,6.7662325835534105,28.091703852108186,63.79184142955071
"Taylor County, Florida",1450.0,16.0,0.011034482758620687,7170,22098,937,15917,4826,75,80,34,84,145,22098,12414,9684,1028,1189,1394,1002,1397,3177,2812,2865,1368,1644,2536,1416,270,41.7,1043.318,0.118,18239,16245,10464,8506,1994,7356,562,483,1237,1273,1119,1347,617,589,45,84,36934,49042,16919,39496,30796,1.1034482758620687,6.561679790026247,32.44637523757806,21.180502972248156
"Union County, Florida",1118.0,41.0,0.036672629695885514,10054,15239,840,10628,3302,111,85,0,5,268,15239,9919,5320,849,809,733,787,850,2467,2234,2136,1130,1033,1501,480,230,39.5,243.556,0.13,9724,8515,6066,3767,1209,3892,409,231,396,584,586,796,547,221,82,40,41770,58432,15475,36137,33415,3.6672629695885512,7.33643939891069,65.97545770719864,62.568772684721374
"Volusia County, Florida",12453.0,316.0,0.02537541154741829,107162,527634,70582,381288,54722,1656,9158,160,1594,8474,527634,257275,270359,25018,25571,26771,29299,31769,60080,55178,68500,40265,39677,69830,38071,17605,46.5,1101.243,0.1,522429,457315,322840,217308,65114,212985,15878,10708,25922,26972,33545,39505,24178,22922,7000,6355,46760,64048,27272,40975,35359,2.5375411547418287,2.3601587464037572,20.30991179491845,479.1258605049022
"Wakulla County, Florida",1300.0,11.0,0.008461538461538461,11363,31877,1165,25350,4703,38,199,0,3,419,31877,17490,14387,1553,1940,2053,1788,1560,4229,4867,4897,2358,2200,2830,1213,389,40.7,606.418,0.083,28299,25765,20413,9410,2534,11068,638,279,1036,1023,1558,2089,2152,1641,434,218,62778,69775,24322,47547,39345,0.8461538461538461,4.078175487028265,35.64639081469398,52.56605179925398
"Walton County, Florida",2357.0,29.0,0.01230377598642342,15452,65858,4029,55560,3085,301,632,92,47,2112,65858,33317,32541,3876,3284,4022,3406,3061,8064,8090,9131,5137,5003,8084,3674,1026,43.7,1037.742,0.106,63776,55169,42078,23532,8607,26432,1652,1374,2748,2597,3941,4624,2690,3729,1300,1777,53785,81950,33731,41394,36304,1.230377598642342,3.578912205047223,23.46260135442923,63.46278747511424
"Washington County, Florida",1216.0,24.0,0.01973684210526316,7384,24566,887,19034,3747,296,149,112,17,324,24566,13231,11335,1256,1526,1252,1475,1429,3362,3235,3449,1894,1425,2631,1196,436,41.8,584.677,0.125,21882,19075,12492,10134,2807,8484,856,695,1104,1300,1249,1622,822,540,202,94,37188,50278,18112,37530,31191,1.973684210526316,4.9499307986648216,30.057803468208093,42.016361170355594
"Adams County, Illinois",1862.0,19.0,0.010204081632653059,38542,66427,1021,61009,2676,178,540,42,72,889,66427,32481,33946,4120,4369,4143,3768,3853,8242,7454,8434,4862,4213,6706,4367,1896,41.3,855.1410000000002,0.114,65175,62125,46656,25786,3050,27300,1658,1225,3037,3181,4166,5540,3229,3365,964,935,51398,69598,29347,44361,36086,1.020408163265306,2.8030770620380268,58.02158760744878,77.679587342906
"Alexander County, Illinois",120.0,1.0,0.008333333333333333,2350,6532,73,4063,2169,48,6,0,0,173,6532,3104,3428,460,398,553,352,225,737,664,799,548,468,823,382,123,42.8,235.521,0.036000000000000004,6469,6030,2784,4141,439,2323,291,175,418,286,415,355,182,104,86,11,34709,45672,19065,42702,32449,0.8333333333333334,1.8371096142069812,35.976729944886706,27.734257242453964
"Bond County, Illinois",499.0,9.0,0.018036072144288574,7700,16712,578,14705,1043,50,196,0,22,118,16712,8587,8125,770,910,880,1168,1161,1993,2178,2297,1240,1196,1584,911,424,41.3,380.339,0.061,15475,14524,11521,5639,951,6218,384,291,635,503,863,1256,933,903,306,144,58097,70131,26356,48807,33409,1.8036072144288575,2.985878410722834,46.07467687888942,43.93974848753349
"Boone County, Illinois",1860.0,25.0,0.013440860215053764,21756,53606,11459,39370,1084,153,633,0,59,848,53606,26830,26776,3062,3331,4577,4481,3228,5678,6773,7912,3625,3011,4829,2263,836,38.4,280.762,0.078,53224,49863,39032,17404,3361,18731,876,622,1503,1706,2286,3532,2768,3205,1073,1160,66898,85599,30725,55756,39953,1.3440860215053763,3.469760847666306,40.58500914076782,190.93039656363752
"Brown County, Illinois",107.0,0.0,0.0,2162,6675,286,4933,1343,6,37,0,4,66,6675,4238,2437,275,302,320,278,506,1153,1103,966,504,319,508,287,154,39.0,305.6790000000001,0.08199999999999999,4804,4521,3452,1744,283,2087,78,147,211,160,244,467,352,324,54,50,58762,67824,22279,50643,37708,0.0,1.6029962546816479,32.38951310861423,21.836632545905992
"Bureau County, Illinois",906.0,16.0,0.017660044150110375,12622,33381,2995,29382,304,46,289,3,25,337,33381,16437,16944,1741,1897,2278,2019,1875,3515,3701,4444,2439,2449,3727,2404,892,44.0,869.084,0.126,33010,31390,23774,13114,1620,13805,665,518,1523,1413,2109,2714,1989,1903,540,431,55940,69674,29126,52252,34993,1.7660044150110374,2.7141188101015548,37.811928941613495,38.40940576515044
"Calhoun County, Illinois",66.0,0.0,0.0,1626,4858,57,4711,17,1,41,0,0,31,4858,2435,2423,254,217,369,331,188,453,511,678,387,357,593,404,116,46.7,253.825,0.079,4777,4640,3261,2112,137,1805,140,137,173,151,215,368,219,305,51,46,54392,66845,27314,54191,45260,0.0,1.3585837793330588,33.47056401811445,19.139170688466464
"Carroll County, Illinois",410.0,11.0,0.02682926829268293,6829,14562,523,13579,163,17,107,0,12,161,14562,7229,7333,770,668,869,812,771,1447,1525,1816,1172,1168,2006,1174,364,47.9,445.043,0.073,14376,13498,10356,5939,878,6476,411,291,727,836,918,1342,898,738,202,113,51228,62739,28053,48193,32568,2.682926829268293,2.815547314929268,46.89603076500481,32.72043375583932
"Cass County, Illinois",462.0,11.0,0.023809523809523808,5610,12665,2374,9622,505,17,47,1,13,86,12665,6353,6312,820,990,729,811,698,1569,1563,1672,997,697,1101,747,271,39.7,375.751,0.056,12520,11628,8581,4945,892,5024,220,252,591,642,684,1084,697,627,106,121,51997,65081,26245,42963,32048,2.380952380952381,3.6478484011054086,44.29530201342282,33.705831787540156
"Champaign County, Illinois",6091.0,29.0,0.004761122968313906,755316,209448,12239,141757,27617,268,22278,121,351,4817,209448,104513,104935,11603,10611,10676,21476,33845,30799,22536,20674,10965,11235,14213,7333,3482,29.9,996.109,0.099,207596,197733,165491,53628,9863,82499,10978,3699,8015,7573,9970,13835,9079,11109,3954,4287,51692,72496,29683,49078,41549,0.4761122968313906,2.9081203926511594,360.622206943967,210.2661455724223
"Christian County, Illinois",816.0,29.0,0.035539215686274515,14312,33231,533,31605,417,62,212,61,5,336,33231,16818,16413,1707,2041,1881,1917,1899,3887,4090,4640,2712,2122,3318,1987,1030,43.2,709.492,0.085,31546,30005,22353,12874,1541,13939,949,566,1817,1587,1722,3057,1843,1663,482,253,52415,62807,26166,48572,35476,3.5539215686274517,2.455538503204839,43.06821943366134,46.8377374233959
"Clark County, Illinois",308.0,17.0,0.055194805194805185,5606,15836,247,15294,46,11,76,0,0,162,15836,7824,8012,927,1042,987,1032,859,1745,1787,2160,1268,1010,1629,907,483,43.0,501.429,0.09,15619,14764,10704,6675,855,6774,254,394,756,683,973,1440,891,883,299,201,54158,70037,29887,49177,34259,5.519480519480519,1.9449355897954028,35.400353624652695,31.581739388826733
"Clay County, Illinois",311.0,13.0,0.04180064308681672,4513,13338,196,12833,61,20,38,0,0,190,13338,6586,6752,756,854,842,759,777,1442,1501,1737,1038,1000,1449,814,369,42.7,468.271,0.13,13170,12133,8350,6110,1037,5638,332,358,749,565,882,1143,664,651,217,77,48691,60790,25821,46940,30305,4.180064308681672,2.331683910631279,33.83565751986804,28.483506345684443
"Clinton County, Illinois",1755.0,26.0,0.014814814814814815,17486,37628,1166,34442,1308,104,214,0,0,394,37628,19551,18077,2076,2031,2469,2171,2200,5119,4727,5414,2818,2493,3303,1979,828,40.2,474.004,0.057,35546,33839,27785,11262,1707,14190,651,586,1140,1204,1750,2958,1913,2538,954,496,65010,80242,31240,53221,39903,1.4814814814814816,4.664079940469863,46.47071329860742,79.38329634349077
"Coles County, Illinois",1912.0,39.0,0.020397489539748955,27794,51736,1288,47080,1897,85,627,17,7,735,51736,24999,26737,2430,2577,2826,4187,6713,6981,5438,5685,3425,3139,4560,2530,1245,35.2,508.288,0.118,51044,47844,33880,20434,3200,21139,2123,1702,2492,2183,3015,3881,2427,2109,691,516,44071,63161,26790,43050,33309,2.0397489539748954,3.695685789392299,53.72274625019329,101.7848149080836
"Crawford County, Illinois",647.0,6.0,0.009273570324574959,5877,19088,668,16821,1083,14,137,13,3,349,19088,9910,9178,1026,968,1129,1057,1107,2562,2397,2586,1355,1389,1897,1122,493,42.0,443.614,0.09,17011,15939,12095,6868,1072,7653,441,445,958,807,1266,1188,965,996,308,279,49233,68640,26713,51987,35705,0.9273570324574959,3.3895641240569994,30.788977367979882,43.028398562714436
"Cumberland County, Illinois",288.0,6.0,0.02083333333333333,4627,10865,114,10508,9,22,30,14,6,162,10865,5455,5410,667,627,783,624,542,1260,1276,1420,891,733,1139,624,279,42.6,345.92,0.087,10738,10228,7368,4430,510,4322,208,279,456,507,576,1012,507,594,71,112,53376,62334,25622,42421,33222,2.083333333333333,2.650713299585826,42.58628624022089,31.408996299722478
"De Witt County, Illinois",260.0,6.0,0.02307692307692308,5834,16042,430,15194,76,7,4,10,3,318,16042,8015,8027,874,939,1029,978,818,1811,1945,2226,1261,1218,1650,865,428,43.1,397.552,0.16699999999999998,15766,15005,11411,6027,761,6663,274,301,593,710,1082,1424,851,900,339,189,55591,69216,29402,51757,38473,2.3076923076923084,1.6207455429497568,36.36703652911108,40.35195395822433
"DeKalb County, Illinois",2358.0,42.0,0.017811704834605598,44431,104200,11422,80438,7749,38,2566,0,37,1950,104200,51580,52620,6025,5863,6855,9198,14896,14362,11652,11656,6220,5072,7132,3536,1733,31.0,631.344,0.068,103533,97465,77360,30740,6068,37703,2920,1613,3383,3241,4477,7328,4874,6219,2180,1468,61086,75000,28073,53167,39633,1.7811704834605597,2.2629558541266794,42.64011516314779,165.04472997288323
"Douglas County, Illinois",672.0,9.0,0.013392857142857142,11031,19714,1424,17823,105,66,144,18,31,103,19714,9748,9966,1325,1221,1540,1311,1182,2397,2383,2283,1410,1251,1784,1153,474,37.9,416.665,0.093,19555,16724,12419,6901,2831,7618,346,426,827,735,1124,1597,957,1055,356,195,54218,70199,27871,45143,32513,1.3392857142857142,3.4087450542761486,55.95515877041696,47.31378925515702
"DuPage County, Illinois",22783.0,606.0,0.026598779791950137,419533,931743,132004,627050,43312,504,108353,242,1345,18933,931743,457178,474565,55318,59578,61211,62132,58606,118415,120006,132848,68587,60313,79557,37630,17542,39.1,327.727,0.064,925916,871642,744352,223407,54274,341823,12909,6829,18773,20583,33404,51908,45972,68068,36813,46564,88711,117832,43982,70879,53469,2.659877979195014,2.4452021641160706,45.02668654339233,2843.0461939358065
"Edgar County, Illinois",155.0,10.0,0.06451612903225806,4642,17539,201,17010,61,12,181,0,0,74,17539,8617,8922,903,931,1149,1003,908,1911,2093,2264,1381,1313,2024,1079,580,44.6,623.385,0.085,17253,16298,12155,7213,955,7590,676,376,810,683,1179,1594,1129,789,228,126,51109,62335,27701,46424,35793,6.451612903225806,0.8837447973088546,26.466731284565824,28.13510110124562
"Edwards County, Illinois",108.0,0.0,0.0,1125,6507,90,6285,41,0,24,0,0,67,6507,3231,3276,374,404,449,391,351,650,759,845,504,447,728,395,210,43.3,222.419,0.061,6478,6116,4764,2511,362,2776,139,138,354,305,461,542,366,362,53,56,49766,63054,26908,47367,36639,0.0,1.6597510373443984,17.289073305670815,29.25559417136126
"Effingham County, Illinois",1165.0,4.0,0.0034334763948497852,14762,34174,684,32780,155,24,210,15,10,296,34174,16971,17203,2234,2071,2410,2120,2062,4486,3879,4376,2336,2444,3091,1793,872,39.1,478.755,0.115,33773,31937,24494,12257,1836,13555,642,571,1439,1460,1936,2612,1820,1915,663,497,56293,74875,30255,45911,33089,0.34334763948497854,3.4090244045180547,43.19658219699187,71.38097774435776
"Fayette County, Illinois",680.0,24.0,0.035294117647058816,8199,21724,408,20008,1043,49,107,0,0,109,21724,11580,10144,1176,1124,1398,1249,1436,2765,2653,2919,1753,1271,2142,1323,515,41.5,716.4960000000002,0.087,20025,18407,11611,9693,1618,7616,479,532,962,1067,1231,1169,971,869,207,129,44432,59615,22260,43229,32381,3.529411764705882,3.130178604308599,37.74166820106794,30.31977847747928
"Ford County, Illinois",196.0,14.0,0.07142857142857142,6879,13398,427,12573,147,59,64,5,19,104,13398,6616,6782,735,995,707,908,715,1460,1560,1743,1047,1033,1232,727,536,43.0,485.597,0.048,13000,12185,8707,5496,815,5779,288,273,729,652,870,1122,732,766,197,150,51120,64974,28002,51669,39438,7.142857142857142,1.4629049111807733,51.343484102104796,27.590780008937454
"Franklin County, Illinois",982.0,9.0,0.009164969450101831,16107,39127,657,37527,280,79,185,25,17,357,39127,19285,19842,2275,2589,2270,2333,2065,4521,4681,5170,2865,2602,4357,2482,917,42.3,408.92,0.126,38660,36128,22185,19750,2532,16135,1579,1183,2274,1957,2362,3006,1638,1482,406,248,41414,54762,23510,45801,33559,0.9164969450101831,2.5097758581031004,41.16594678866256,95.68375232319279
"Fulton County, Illinois",518.0,1.0,0.0019305019305019305,15188,35418,1043,32549,1315,87,49,10,0,365,35418,18496,16922,1723,1909,2116,2029,2053,4203,4578,4793,2484,2591,3758,1938,1243,43.0,865.702,0.061,32889,30898,22996,14362,1991,14090,1042,767,1783,1450,1976,3063,1792,1500,417,300,50180,62429,25538,47362,32055,0.19305019305019305,1.4625331752216386,42.882150319046815,40.91246179401226
"Gallatin County, Illinois",107.0,2.0,0.018691588785046728,1088,5157,75,4936,12,27,22,0,5,80,5157,2472,2685,264,285,343,249,268,540,610,660,375,353,693,405,112,45.3,322.99,0.068,5157,4973,3189,2857,184,2314,260,115,334,253,353,393,295,214,62,35,42500,57026,25572,47340,34425,1.8691588785046727,2.0748497188287764,21.09753732790382,15.966438589430012
"Greene County, Illinois",290.0,15.0,0.05172413793103448,4737,13218,86,12746,194,40,25,0,0,127,13218,6668,6550,660,883,720,791,765,1526,1577,1863,1090,859,1332,771,381,42.9,543.02,0.066,12932,12105,7886,6106,827,5005,369,346,578,633,788,979,588,545,102,77,46052,58630,23946,43873,33333,5.172413793103448,2.1939779089120894,35.8374943259192,24.341644874958565
"Grundy County, Illinois",965.0,7.0,0.0072538860103626935,14045,50509,4877,43702,611,17,401,17,216,668,50509,25241,25268,3142,3813,3645,3421,2933,6408,7061,7084,3673,2632,3955,1980,762,37.6,418.088,0.08900000000000001,50217,48112,39456,14358,2105,19398,815,821,1179,1151,2122,3731,2952,3756,1915,956,74140,87844,33308,62983,42238,0.7253886010362693,1.9105505949434756,27.806925498426022,120.80949465184362
"Hamilton County, Illinois",120.0,2.0,0.016666666666666666,2013,8221,198,7920,31,23,49,0,0,0,8221,4018,4203,466,516,534,500,367,891,916,1028,625,653,920,553,252,44.1,434.634,0.063,8148,7642,5759,3175,506,3376,194,218,325,280,441,816,399,464,128,111,56862,67205,27795,47229,36786,1.6666666666666667,1.4596764383894905,24.4860722539837,18.914765066699797
"Hancock County, Illinois",309.0,4.0,0.012944983818770229,6987,18112,268,17435,148,3,69,0,0,189,18112,9008,9104,964,1039,1103,1030,936,1842,1924,2395,1354,1459,2179,1270,617,46.0,793.7189999999998,0.063,17931,17395,12327,7778,536,7420,415,360,885,795,1110,1574,1144,738,200,199,51549,63252,26880,46788,34923,1.2944983818770228,1.7060512367491165,38.576634275618375,22.81915892148229
"Hardin County, Illinois",53.0,0.0,0.0,1342,4009,69,3793,112,11,1,0,0,23,4009,1976,2033,131,159,246,273,218,355,574,616,267,318,577,162,113,46.2,177.472,0.078,3921,3584,2333,1903,337,1438,131,112,187,185,182,277,153,161,30,20,43081,63443,25795,52260,27500,0.0,1.3220254427538038,33.47468196557745,22.589478903714387
"Henderson County, Illinois",128.0,0.0,0.0,1883,6884,117,6620,5,16,48,0,0,78,6884,3369,3515,330,321,367,380,359,645,649,950,683,503,924,587,186,49.7,378.789,0.099,6823,6369,5186,2660,454,2990,97,150,299,343,530,747,381,348,54,41,52712,65045,28401,46081,29452,0.0,1.8593840790238232,27.353282975014526,18.17370620582963
"Henry County, Illinois",846.0,7.0,0.008274231678486997,20732,49464,2773,44823,848,102,274,0,54,590,49464,24536,24928,2741,2990,3321,3200,2581,5281,5859,6451,3838,3363,5476,3017,1346,43.1,822.9989999999998,0.092,48734,46576,37565,17909,2158,20023,1176,1000,2108,2136,2499,3707,2750,3178,886,583,57250,69866,29014,53794,36576,0.8274231678486997,1.710334788937409,41.91331069060327,60.10213864172376
"Iroquois County, Illinois",492.0,19.0,0.03861788617886179,14003,28169,1914,25375,282,16,91,0,108,383,28169,13751,14418,1488,1653,1815,1794,1502,2898,3141,3733,2043,2209,3133,1925,835,44.5,1117.406,0.063,27740,26068,18840,11865,1672,11779,532,795,1318,1231,1866,2382,1660,1309,442,244,51825,64658,26976,48161,32326,3.861788617886179,1.7466008733004368,49.71067485533743,25.209279348777436
"Jackson County, Illinois",1542.0,26.0,0.016861219195849545,22926,58551,2530,43423,8604,102,2003,2,177,1710,58551,28989,29562,3018,2832,2952,5837,8594,8577,5807,5888,3444,3247,4752,2456,1147,31.6,584.072,0.083,57971,53700,39523,21664,4271,23728,3653,1937,3326,2331,3161,3416,2273,1913,968,750,37802,58035,24521,44483,36047,1.6861219195849546,2.6336014756366244,39.155607931546854,100.24620252297662
"Jasper County, Illinois",264.0,10.0,0.03787878787878788,3443,9598,24,9326,97,16,4,0,32,99,9598,4809,4789,583,650,604,553,499,1042,1079,1345,771,678,965,541,288,42.8,494.614,0.07400000000000001,9535,8841,6556,3778,694,3656,316,235,334,308,438,851,463,513,127,71,54951,63677,25536,42887,35917,3.787878787878788,2.7505730360491767,35.872056678474685,19.405030993865925
"Jefferson County, Illinois",905.0,48.0,0.05303867403314917,12865,38169,969,32703,3193,44,449,0,24,787,38169,19567,18602,2392,2535,2105,2155,2315,4732,4663,5141,2554,2603,3968,2221,785,41.0,571.207,0.069,35686,33641,22893,16327,2045,15223,1298,740,1966,1608,2255,2875,1637,1852,577,415,47617,64402,25770,48909,34147,5.303867403314917,2.3710340852524303,33.70536299090885,66.82166009870328
"Jersey County, Illinois",473.0,21.0,0.04439746300211417,7793,22069,302,21162,105,23,47,0,2,428,22069,10841,11228,1032,1069,1623,1640,1446,2372,2467,3072,1644,1595,2269,1284,556,42.7,369.286,0.129,21704,20547,16592,6953,1157,8665,511,331,757,924,1341,1408,1200,1425,532,236,56747,71313,28924,53594,38125,4.439746300211417,2.1432779011282794,35.311976075037386,59.76126904350558
"Jo Daviess County, Illinois",498.0,7.0,0.014056224899598391,7365,21834,648,20695,110,57,95,12,8,209,21834,10956,10878,923,1122,1335,1220,1012,1917,2255,2740,1567,1978,3350,1753,662,49.7,600.906,0.071,21672,20658,16620,8355,1014,9758,469,364,999,1111,1375,1993,1321,1391,464,271,57083,73074,32710,46528,35040,1.405622489959839,2.280846386369882,33.731794449024456,36.33513394773892
"Johnson County, Illinois",355.0,0.0,0.0,3880,12602,403,10647,1462,9,40,0,9,32,12602,7015,5587,603,717,580,697,776,1635,1538,1747,1018,719,1511,757,304,43.2,343.925,0.07200000000000001,10342,9970,7236,4566,372,4342,265,230,490,545,593,871,544,574,144,86,50923,65981,22469,53213,38125,0.0,2.8170131725122998,30.788763688303444,36.64170967507451
"Kane County, Illinois",16621.0,347.0,0.020877203537693283,222374,530839,168385,304340,27979,489,21011,153,844,7638,530839,264211,266628,34620,38458,41207,39340,33704,64192,72293,75567,34839,29601,40562,18715,7741,37.0,519.359,0.092,527595,481085,376336,156304,46510,178050,6844,4761,11705,12687,20373,30459,23738,33541,16612,17330,76912,101298,34924,57370,43436,2.087720353769328,3.131081175271598,41.89104417723642,1022.1041707181352
"Kankakee County, Illinois",3388.0,80.0,0.023612750885478158,64994,111061,11317,80148,16543,198,1054,0,120,1681,111061,54615,56446,6620,7211,7433,8489,8489,13385,13198,14203,7709,6715,9911,5150,2548,37.6,676.498,0.117,108902,102509,76664,39419,6393,40050,2925,1822,4199,3228,5055,8038,5548,6014,1819,1402,57981,71986,27164,53860,39516,2.3612750885478158,3.0505758096901703,58.52099296782849,164.17047796150172
"Kendall County, Illinois",2670.0,30.0,0.011235955056179777,43689,124626,22616,87623,8184,108,4132,0,15,1948,124626,61761,62865,8881,11024,10401,9227,6959,15938,20347,17669,7066,5212,7620,3041,1241,34.9,320.259,0.086,124288,118797,102499,27546,5491,40407,909,711,1279,2055,3891,6677,7027,10151,3973,3734,91764,104526,34423,64213,48517,1.1235955056179776,2.1424100909922488,35.05608781474171,389.14128876940225
"Knox County, Illinois",1299.0,16.0,0.012317167051578136,23808,50999,2875,42325,4349,25,509,0,130,786,50999,25743,25256,2750,2558,3066,3426,3666,5708,5801,6371,3471,3803,5701,3275,1403,42.1,716.439,0.109,48258,45551,32108,21683,2707,20830,1563,1652,2650,2376,3361,3830,2405,2058,551,384,43709,58735,24681,43165,31979,1.2317167051578137,2.5471087668385657,46.68326829937842,71.18400868741094
"Lake County, Illinois",20630.0,510.0,0.024721279689772176,319032,703619,150590,437597,46334,874,52499,308,1265,14152,703619,351343,352276,41245,46814,53083,54971,50498,77870,89060,103477,50948,42584,55222,25780,12067,38.2,443.941,0.076,687874,639566,520751,183758,48308,244672,9827,6141,15277,15901,23559,37750,29869,43197,24368,38783,86244,123830,44287,64865,50445,2.4721279689772175,2.9319844972918583,45.34158401066487,1584.9380886198842
"LaSalle County, Illinois",2408.0,63.0,0.02616279069767442,39566,110401,10473,94724,2678,224,860,21,14,1407,110401,55400,55001,6126,6278,7131,6870,6583,13459,12871,14856,8461,7807,10688,6123,3148,41.8,1135.185,0.12,107246,101963,76962,40892,5283,44644,2526,2161,4607,4688,6161,8760,5741,6648,2008,1344,56243,70670,29093,54035,35253,2.616279069767442,2.1811396635900038,35.83844349235967,97.25375159115035
"Lawrence County, Illinois",333.0,8.0,0.024024024024024024,6602,16189,616,13711,1440,34,43,0,10,335,16189,8919,7270,840,901,876,810,1058,2350,2255,2187,1163,978,1455,951,365,41.0,372.17800000000005,0.175,13825,12744,8391,6260,1081,6144,342,277,790,829,1117,963,861,681,210,74,45654,58908,22099,48816,32244,2.4024024024024024,2.056952251528816,40.780777070850576,43.49800364341793
"Lee County, Illinois",710.0,2.0,0.002816901408450705,10653,34527,2077,29847,1754,92,210,62,35,450,34527,18326,16201,1742,2181,1703,1900,2034,4177,4276,4905,2799,2426,3504,2053,827,43.4,724.8439999999998,0.06,31497,30085,23330,11681,1412,13699,758,636,1262,1636,1746,2636,2087,1652,798,488,57901,72909,29249,51845,37368,0.2816901408450705,2.0563616879543547,30.854114171517942,47.63369773358131
"Livingston County, Illinois",632.0,10.0,0.015822784810126583,17423,36324,1627,32418,1420,0,278,0,2,579,36324,18614,17710,1979,2074,2243,2311,2197,4411,4118,5022,2747,2560,3572,1906,1184,42.0,1043.627,0.1,34107,32381,24465,13455,1726,14320,746,616,1804,1643,1622,2612,2046,2270,574,387,56200,70341,28236,51805,32623,1.5822784810126582,1.7398964871710165,47.96553243034908,34.80553876049585
"Logan County, Illinois",590.0,4.0,0.006779661016949152,18343,29207,1000,25266,1833,41,218,2,24,823,29207,14183,15024,1565,1372,1652,1993,2180,3821,3703,3727,2119,1918,2708,1368,1081,40.4,618.071,0.126,25891,24585,19246,9916,1306,10872,486,451,907,1142,1572,2439,1520,1524,505,326,57899,72129,27187,50299,37114,0.6779661016949152,2.0200636833635772,62.80343753209847,47.255088816656986
"Macon County, Illinois",3055.0,52.0,0.01702127659574468,52726,106512,2366,81459,15185,273,1154,7,164,5904,106512,51062,55450,6553,6492,6674,6792,6771,12624,12164,13027,7508,7728,11060,6494,2625,41.3,580.576,0.168,104085,99018,70876,44843,5067,44113,3452,2449,5256,4571,6159,7933,5639,5185,1907,1562,50444,68106,28925,52470,37732,1.702127659574468,2.8682214210605377,49.50240348505333,183.45918536074518
"Macoupin County, Illinois",807.0,11.0,0.013630731102850062,22308,45719,536,43966,422,77,213,3,8,494,45719,22602,23117,2272,2658,3071,2849,2526,5025,5413,6183,3403,3563,4843,2639,1274,43.6,862.92,0.115,45206,43224,31725,18775,1982,18772,1095,883,2081,2060,2732,3272,2629,2700,764,556,53778,67689,28050,50655,38635,1.3630731102850062,1.7651304709201863,48.79371814781601,52.981736429796506
"Madison County, Illinois",7151.0,154.0,0.021535449587470282,98208,265670,8485,226512,22318,482,2592,57,120,5104,265670,129718,135952,15516,16234,16822,16289,15891,35938,32208,35683,19378,17964,24316,13264,6167,40.1,716.049,0.102,263088,249528,190879,94728,13560,107413,6629,4944,10189,10547,13929,20597,14012,16166,6124,4276,57890,74862,30802,56343,42130,2.153544958747028,2.691685173335341,36.96616102683781,371.0220948566369
"Marion County, Illinois",1012.0,19.0,0.018774703557312245,18636,38084,748,34772,1328,86,264,0,73,813,38084,18726,19358,2399,2636,2272,2172,2228,4546,4221,4869,2824,2656,3986,2166,1109,42.1,572.451,0.135,37387,34944,22414,18729,2443,15913,1175,854,2248,1910,2304,3144,1924,1713,402,239,46102,58895,24727,43976,34395,1.8774703557312244,2.6572838987501313,48.93393551097574,66.52796483891197
