county_state,race_pop,race_pop_hispanic_or_latino_(of_any_race),race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,pop_density
"Willacy County, Texas",21754,19170,2412,129,2,0,0,0,41,21754,11681,10073,1398,1390,1621,1734,2011,3260,3018,2266,1028,1122,1612,981,313,33.6,590.591,36.834289719958484
"Crosby County, Texas",5861,3261,2330,210,0,14,0,3,43,5861,2921,2940,400,393,534,454,327,643,725,580,391,356,560,374,124,38.1,900.199,6.51078261584383
"Fisher County, Texas",3883,1185,2492,114,0,23,5,0,64,3883,1879,2004,262,183,206,256,258,393,431,455,269,278,488,316,88,44.4,898.951,4.319479037233397
"Duval County, Texas",11355,10135,1028,191,0,0,0,1,0,11355,5758,5597,813,709,1016,633,930,1433,1297,1278,903,318,1101,709,215,36.1,1793.477,6.33127717835244
"Blanco County, Texas",11279,2173,8712,2,0,165,39,0,188,11279,5781,5498,461,572,605,685,493,854,1266,1565,1075,1006,1706,779,212,49.9,709.25,15.902714134649278
"Jasper County, Texas",35504,2360,26471,5833,62,157,26,97,498,35504,17501,18003,2119,2373,2648,2238,2179,3772,3960,4620,2600,2265,3996,1867,867,40.9,938.655,37.82433375414822
"Kinney County, Texas",3675,2297,1375,3,0,0,0,0,0,3675,2290,1385,87,152,283,190,216,579,391,502,346,178,501,122,128,41.7,1360.055,2.7020966063872414
"Deaf Smith County, Texas",18899,13659,4781,144,48,103,16,18,130,18899,9507,9392,1663,1579,1746,1510,1301,2372,2314,2075,1100,923,1279,735,302,32.0,1496.822,12.62608379620289
"Galveston County, Texas",327089,79406,188666,40398,747,10621,203,348,6700,327089,161269,165820,21173,21795,23438,22157,19905,43687,42869,44116,23589,20096,27241,12627,4396,37.5,378.937,863.1751452088341
"La Salle County, Texas",7409,6104,1125,94,0,12,0,0,74,7409,4408,3001,508,532,287,418,605,1499,887,985,363,291,665,331,38,33.8,1486.704,4.983507140627859
"Roberts County, Texas",885,123,726,0,0,8,0,0,28,885,401,484,32,50,109,99,28,83,89,95,55,45,99,83,18,38.0,924.058,0.9577320904099094
"Tyler County, Texas",21496,1621,17043,2411,12,60,0,9,340,21496,11738,9758,1069,1131,1143,1408,1624,2681,2330,2446,1581,1473,2636,1468,506,42.7,924.39,23.25425415679529
"Wheeler County, Texas",5482,1448,3740,142,13,5,17,0,117,5482,2844,2638,382,438,392,305,253,783,602,583,429,300,578,285,152,39.0,914.523,5.994381770606097
"Bowie County, Texas",93858,7098,60017,22765,822,997,17,49,2093,93858,47275,46583,6060,6076,6476,5542,6215,12531,12537,11786,6160,5483,8611,4656,1725,38.1,885.002,106.05399761808448
"Brewster County, Texas",9216,4099,4722,21,168,111,0,16,79,9216,4558,4658,487,507,529,418,543,1160,1223,1020,628,714,1215,619,153,43.3,6183.762,1.4903549004635044
"Kent County, Texas",749,122,613,8,6,0,0,0,0,749,327,422,33,53,34,61,12,41,79,90,65,54,146,59,22,51.8,902.507,0.829910460528284
"Smith County, Texas",225015,43377,134889,38735,725,3865,299,315,2810,225015,108730,116285,15496,15209,15695,15854,16210,30117,26582,26915,13952,13314,20158,11658,3855,36.6,921.473,244.1905514323263
"Crockett County, Texas",3633,2306,1295,32,0,0,0,0,0,3633,1771,1862,303,321,209,305,96,528,364,513,112,343,336,163,40,35.9,2807.324,1.2941149649986963
"Hardin County, Texas",56379,3142,48896,3169,110,326,0,76,660,56379,27342,29037,3739,3620,4188,3784,3256,6855,7194,7149,3961,3438,5602,2691,902,39.0,890.587,63.305437874121225
"Howard County, Texas",36667,15394,18015,2027,259,299,10,21,642,36667,20732,15935,2309,2132,2324,2260,2672,5608,5178,5267,2389,1932,2551,1504,541,36.6,900.791,40.7053356438952
"Leon County, Texas",17098,2457,13048,1174,85,136,52,0,146,17098,8602,8496,1075,1143,1039,1039,777,1680,1789,1938,1255,1276,2351,1208,528,45.0,1073.156,15.932445981758478
"Montague County, Texas",19409,2111,16694,120,32,0,0,0,452,19409,9403,10006,1108,1305,1328,1083,1039,2096,2019,2529,1295,1378,2426,1360,443,43.4,930.906,20.849580945874237
