county_name,total_cases,total_fatalities,death_rate,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density
Fannin,755.0,16,0.02119205298013245,34175,3752,27018,2133,169,242,13,3,845,34175,18034,16141,1722,1973,2259,2038,2131,4166,4038,4832,2381,2190,3623,1948,874,41.9,890.835,31300,26291,18710,11381,5009,12231,1005,577,1289,1342,1796,2239,1604,1525,466,388,50761,65077,24581,30940,50000,36165,38.362884260272665
Fayette,510.0,22,0.043137254901960784,25066,5212,17917,1592,13,119,0,0,213,25066,12351,12715,1256,1533,1540,1391,1320,2317,2618,3037,2150,1881,3277,1970,776,47.0,949.87,24647,21995,17577,8205,2652,9067,539,660,885,830,1244,1700,1176,1134,344,555,56297,76017,30097,31230,45089,30297,26.38887426700496
Fisher,91.0,3,0.03296703296703297,3883,1185,2492,114,0,23,5,0,64,3883,1879,2004,262,183,206,256,258,393,431,455,269,278,488,316,88,44.4,898.951,3860,3267,2514,1406,593,1649,132,136,144,229,256,292,154,242,33,31,46827,64120,28355,30858,45313,33750,4.319479037233397
Floyd,121.0,9,0.0743801652892562,5872,3429,2184,164,8,10,0,0,77,5872,2885,2987,381,386,517,407,358,681,733,583,383,346,573,366,158,36.9,992.143,5834,4525,2954,2269,1309,2328,190,156,304,208,343,520,308,214,44,41,48555,57642,23308,28919,41493,29474,5.918501667602352
Foard,20.0,0,0.0,1408,288,1095,25,0,0,0,0,0,1408,712,696,62,65,87,100,47,87,181,214,104,82,162,160,57,49.3,704.3969999999997,1373,1191,856,538,182,557,9,41,76,78,86,129,65,37,18,18,46354,60131,25636,23833,38977,20962,1.9988727947450091
Fort Bend,17238.0,305,0.017693467919712262,739342,179653,249314,149334,1652,146020,141,1583,11645,739342,363177,376165,51655,58222,59504,54665,43098,91278,113334,104353,47261,41118,49623,18833,6398,36.0,861.582,734071,652304,558076,139849,81767,230381,7147,4047,11051,12527,19631,35823,29557,47159,26873,36566,95561,123548,39472,46297,71336,53339,858.1214556478664
Franklin,183.0,7,0.03825136612021858,10679,1515,8460,408,22,5,8,0,261,10679,5362,5317,587,672,840,794,526,1066,1129,1322,789,733,1283,755,183,43.0,284.39099999999996,10584,8824,6682,3673,1760,3806,171,188,483,503,462,658,578,491,94,178,52944,67848,25602,29826,41613,35053,37.55041474589562
Freestone,440.0,4,0.00909090909090909,19709,2984,13225,3103,12,113,0,0,272,19709,10163,9546,1153,1358,1204,1188,952,2634,2473,2348,1413,1199,2132,1238,417,40.4,877.7310000000001,18047,15220,11020,6991,2827,6865,371,492,959,830,848,1057,756,1035,324,193,48731,67181,24083,31263,50804,31098,22.454487764474536
Frio,1008.0,9,0.008928571428571428,19394,15279,3035,757,9,172,0,23,119,19394,11580,7814,1166,1182,1174,1763,2021,3553,2385,2094,775,900,1356,841,184,31.4,1133.501,15733,12265,7552,6172,3468,4624,397,438,570,488,734,737,468,549,149,94,42476,63369,18288,20819,35740,28381,17.109821694025854
Gaines,493.0,10,0.02028397565922921,20321,8375,11299,391,93,95,13,44,11,20321,10320,10001,2190,1848,2152,1761,1228,2856,2395,2205,1117,804,972,545,248,27.9,1502.364,20212,13803,9884,4751,6409,5737,444,175,538,668,686,999,857,815,318,237,59032,74857,22710,32571,49333,27473,13.526016331594741
Galveston,12172.0,168,0.013802168912257641,327089,79406,188666,40398,747,10621,203,348,6700,327089,161269,165820,21173,21795,23438,22157,19905,43687,42869,44116,23589,20096,27241,12627,4396,37.5,378.93699999999995,321952,276296,224321,86982,45656,119181,7129,4770,10383,9872,12982,18276,13461,20241,10546,11521,69369,95026,35448,37876,64771,47458,863.1751452088341
Garza,121.0,5,0.04132231404958678,6288,3272,2562,267,23,137,0,7,20,6288,4070,2218,269,238,274,394,516,1075,1172,887,402,280,408,304,69,39.0,893.414,4405,3633,2623,1684,772,1628,91,92,86,175,357,303,261,201,22,40,55039,71609,19177,25668,36124,31192,7.038170433863808
Gillespie,351.0,10,0.02849002849002849,26208,6006,19653,19,7,42,0,34,447,26208,12731,13477,1302,1298,1622,1551,1180,2124,2609,2872,1763,2276,3920,2599,1092,50.3,1058.198,25851,20998,16326,9813,4853,10717,520,492,1171,1191,1299,2140,1105,1615,505,679,58325,80569,33515,25433,47274,36044,24.766631575565253
Glasscock,12.0,0,0.0,1430,626,804,0,0,0,0,0,0,1430,787,643,68,69,127,132,158,122,229,134,68,150,87,69,17,36.0,900.2180000000003,1430,1140,960,233,290,432,22,0,71,25,49,39,77,80,49,20,75833,94304,30902,30061,42404,24722,1.5885041178914436
Goliad,157.0,6,0.03821656050955414,7531,2699,4396,372,0,43,0,0,21,7531,3734,3797,312,526,530,395,511,672,756,994,684,536,841,683,91,46.0,852.0110000000003,7428,6634,5154,2647,794,2681,246,173,294,244,203,408,315,478,197,123,60492,76236,29918,35709,61554,39438,8.83908775825664
Gonzales,1110.0,20,0.018018018018018018,20667,10436,8667,1356,17,52,4,0,135,20667,10448,10219,1507,1569,1599,1389,1315,2470,2265,2523,1491,1207,1903,1055,374,36.5,1066.6860000000001,20384,16323,10461,7731,4061,7214,392,438,796,865,913,1534,833,794,345,304,53006,73239,26618,30835,40978,31465,19.374961328825915
Gray,408.0,10,0.024509803921568627,22685,6465,14504,1007,181,153,19,0,356,22685,11903,10782,1641,1631,1617,1273,1414,3119,3021,2783,1538,1080,1862,1133,573,36.6,925.9739999999999,21117,17296,12359,7532,3821,8000,538,341,1279,1029,919,1399,904,1025,284,282,47170,66873,24911,30902,48117,31497,24.49852803642435
Grayson,2340.0,64,0.02735042735042735,128560,16817,97457,6842,1534,1805,66,201,3838,128560,62737,65823,8066,8267,9100,8466,7771,15528,15026,16509,9361,8176,13191,6592,2507,39.9,932.831,127174,105716,80788,41729,21458,47957,3175,2372,4788,4858,6977,8469,7223,5982,2614,1499,54370,70460,27276,30519,45691,35604,137.8170322384226
Gregg,2470.0,84,0.0340080971659919,123494,22916,71387,24767,377,1641,121,144,2141,123494,60208,63286,9322,9310,8434,8245,8595,17098,14731,14571,8105,6878,10055,5425,2725,35.4,273.38,121339,98319,70968,40044,23020,45532,3422,2400,5200,5394,6809,8496,4784,5610,1918,1499,49287,67886,25839,27262,46156,35192,451.73019240617464
Grimes,1157.0,35,0.03025064822817632,27630,6616,16163,4165,90,45,0,15,536,27630,14892,12738,1534,1604,1975,1843,1701,3173,3608,3669,1951,2018,2901,1153,500,40.3,787.467,24066,20774,14468,9388,3292,8793,634,528,1094,1006,1112,1508,957,1186,367,401,50298,72230,23513,28611,42188,31545,35.087184605831105
Guadalupe,3806.0,79,0.02075669994745139,155137,58462,78655,11140,274,2578,246,530,3252,155137,76850,78287,9910,11309,11397,11707,9540,19682,21641,21399,9868,7945,12567,6145,2027,36.7,711.252,152940,135375,112769,41595,17565,53107,2364,1685,3486,3691,6611,10521,7945,9857,4019,2928,70931,86049,30817,36663,52101,39372,218.11819158329257
Hale,2407.0,60,0.024927295388450354,34113,20153,11669,1486,10,104,7,22,662,34113,17751,16362,2392,2344,3045,2761,2678,4698,3986,4047,2033,1637,2418,1342,732,33.1,1004.68,32366,26187,18237,10678,6179,11146,969,584,1250,1286,1958,2302,1431,965,239,162,47080,56831,19854,28851,41728,32002,33.95409483616674
Hall,41.0,1,0.024390243902439025,3074,1057,1729,239,3,9,0,0,37,3074,1546,1528,124,152,295,275,144,251,330,371,173,250,377,243,89,43.5,883.492,3016,2244,1237,1393,772,1301,122,141,249,215,139,177,103,108,17,30,32921,54817,22846,20659,40734,30060,3.479375025467124
Hamilton,182.0,4,0.02197802197802198,8269,1019,7004,42,62,24,0,0,118,8269,4070,4199,469,502,454,513,406,832,893,929,641,548,1050,599,433,46.0,835.915,8044,6639,4724,3273,1405,3108,191,267,385,379,355,548,357,394,116,116,47500,70251,28074,28403,41516,29388,9.892154106577822
Hansford,187.0,6,0.03208556149732621,5547,2618,2911,3,4,0,0,0,11,5547,2783,2764,467,363,473,436,431,658,736,544,303,273,487,270,106,34.3,919.81,5463,4386,3468,1398,1077,1855,139,72,227,411,267,296,191,146,85,21,39229,54819,20127,28285,40861,24109,6.030593274698036
Hardeman,60.0,1,0.016666666666666666,3952,851,2693,271,41,0,0,0,96,3952,1938,2014,196,291,307,199,237,465,401,530,225,302,457,219,123,42.4,695.1139999999997,3940,3318,2329,1611,622,1519,70,140,301,128,187,312,179,144,12,46,42238,56979,22938,22042,41901,29426,5.685398366311139
Hardin,1416.0,34,0.02401129943502825,56379,3142,48896,3169,110,326,0,76,660,56379,27342,29037,3739,3620,4188,3784,3256,6855,7194,7149,3961,3438,5602,2691,902,39.0,890.587,55918,47649,38068,16535,8269,20385,1552,1262,1800,1886,2182,3641,2387,3484,1233,958,59105,77772,29108,38827,58674,35973,63.30543787412122
Harris,155192.0,2759,0.017777978246301354,4602523,1958963,1384032,855008,8147,317911,2456,10431,65575,4602523,2288295,2314228,352799,346412,342994,315136,321813,747301,657407,576550,261843,227941,282371,123989,45967,33.3,1705.203,4581010,3657243,2643160,1294937,923767,1583486,96861,64276,148086,154564,201347,277335,185201,224530,98609,132677,60146,89270,31901,33173,49579,41028,2699.105619682818
Harrison,1042.0,38,0.036468330134357005,66645,8627,42414,14084,188,489,15,43,785,66645,32556,34089,4354,4977,4720,4844,3991,7842,8124,8253,4591,4269,6439,2959,1282,37.9,899.956,65875,56065,41879,21476,9810,23217,1795,1204,2325,2785,3186,3908,3554,2833,958,669,51202,68884,25418,30864,50660,33857,74.05362039921951
Hartley,168.0,0,0.0,5767,1524,3390,492,2,85,0,37,237,5767,3411,2356,311,325,389,235,172,1115,1031,745,359,258,446,320,61,39.1,1461.951,4220,3508,2599,1265,712,1681,41,5,151,176,315,421,193,311,17,51,59280,73285,20480,37096,42045,37361,3.944728653696328
Haskell,78.0,3,0.038461538461538464,5809,1665,3758,192,33,44,0,7,110,5809,3071,2738,243,331,322,366,429,709,740,661,228,519,678,371,212,42.4,903.133,5241,4227,2638,2341,1014,2125,204,152,316,265,224,492,201,197,43,31,46013,53831,21308,26002,37900,30476,6.432053750665737
Hays,6212.0,74,0.011912427559562138,204150,78334,111288,7421,416,2806,78,423,3384,204150,101636,102514,12742,13582,13391,17308,25542,28878,26754,23560,11592,9516,13864,5782,1639,31.6,677.987,202381,174038,151064,41615,28343,70881,4681,2631,5532,5779,8232,12847,10545,11159,4633,4842,65935,85397,30715,30674,51222,40392,301.11196822357954
Hemphill,133.0,0,0.0,4061,1455,2502,34,15,24,0,0,31,4061,1965,2096,260,356,473,370,162,391,609,443,257,200,326,148,66,35.2,906.2860000000001,4018,2938,2354,1076,1080,1323,32,123,76,171,193,189,149,267,64,59,63778,79573,26781,27239,51622,37381,4.480925447375332
Henderson,1203.0,31,0.025768911055694097,80460,10072,63153,5080,568,530,37,32,988,80460,39097,41363,4537,4681,5081,5230,4356,8568,8690,10190,5983,5744,9977,5700,1723,43.9,873.773,79500,64594,44883,32678,14906,30885,2229,1973,3825,3907,4579,5413,3813,3081,1190,875,45798,64314,25280,27732,43754,32546,92.08341296881457
Hidalgo,34343.0,1659,0.04830678740937018,849389,781681,54299,3619,614,7779,118,254,1025,849389,415443,433946,80050,76370,79880,73722,66114,113177,109326,91054,36396,33050,50543,29323,10384,29.1,1570.899,841221,584950,308592,315557,256271,234879,27667,19576,34297,27818,30516,37980,22272,21941,7541,5271,38398,56090,16490,21866,35026,28811,540.7024894662228
Hill,762.0,16,0.02099737532808399,35399,7247,25039,2279,115,120,65,15,519,35399,17603,17796,2113,2362,2355,2453,1970,3855,3796,4411,2611,2253,4097,2433,690,42.1,958.855,34754,29129,20761,13269,5625,12769,858,679,1563,1499,1899,2481,1394,1600,357,439,48823,65716,24745,26824,42115,32047,36.91799072852517
Hockley,519.0,12,0.023121387283236993,23162,10970,10948,769,141,72,17,28,217,23162,11428,11734,1558,1671,1822,1979,1778,3093,2659,2643,1487,1280,1809,923,460,33.5,908.3919999999999,22950,18719,13595,7421,4231,7946,408,431,1003,933,1357,1411,949,913,268,273,48116,65147,23440,28465,47456,33347,25.497802710724002
Hood,1130.0,37,0.03274336283185841,56901,7026,48047,466,469,433,0,0,460,56901,28004,28897,3109,3220,3506,3474,2578,5914,5641,6942,4449,4261,7883,4531,1393,46.7,420.704,56208,47617,36001,20217,8591,21969,1247,851,2192,2024,3175,3842,2473,3528,1469,1168,59049,80447,32727,35806,52808,37651,135.2518635430136
Hopkins,589.0,26,0.044142614601018676,36240,6043,26657,2523,44,243,42,34,654,36240,17801,18439,2320,2452,2789,2279,2105,4356,4220,4652,2454,2135,3730,2159,589,39.5,767.2919999999997,35802,29202,20840,12601,6600,13405,881,654,1529,1665,1695,2775,1562,1577,567,500,51877,69253,26267,29824,47254,31592,47.231041116028855
Houston,415.0,12,0.02891566265060241,22955,2511,14185,5676,49,72,0,9,453,22955,12432,10523,1181,1372,1161,1224,1325,2412,3021,3182,1669,1574,2605,1543,686,44.0,1231.005,19828,16851,10938,8352,2977,8209,833,862,1293,1166,1248,1461,584,599,79,84,34297,47354,18080,22610,31213,24452,18.647365364072442
Howard,1044.0,21,0.020114942528735632,36667,15394,18015,2027,259,299,10,21,642,36667,20732,15935,2309,2132,2324,2260,2672,5608,5178,5267,2389,1932,2551,1504,541,36.6,900.791,31813,26274,19426,10082,5539,11036,882,574,960,1420,1509,1966,1470,1541,324,390,51528,71173,23784,26963,48796,29020,40.705335643895204
Hudspeth,75.0,3,0.04,4098,3212,720,49,0,74,0,0,43,4098,2019,2079,207,362,280,235,274,648,347,508,334,264,385,213,41,37.6,4570.525,3377,2586,1241,1620,791,900,143,101,123,133,191,99,33,43,17,17,29318,45074,14190,18147,26940,21827,0.8966147215035473
Hunt,1934.0,43,0.022233712512926575,92152,14595,66540,7297,952,1144,43,72,1509,92152,45279,46873,5804,6140,6305,6695,6266,11300,10817,12284,6545,5474,8628,4434,1460,37.8,840.34,91346,75795,55072,31012,15551,32369,2272,1942,4113,3363,3856,5465,4443,4233,1698,984,51928,67512,25077,30364,50090,36033,109.66037556227242
Hutchinson,294.0,7,0.023809523809523808,21571,4959,15250,474,313,82,122,4,367,21571,10797,10774,1424,1718,1444,1501,1343,2634,2713,2477,1415,1515,1902,1151,334,37.3,887.42,21464,17752,13267,7558,3712,7191,536,522,728,663,1109,1181,929,943,430,150,50651,65818,24725,28051,52628,30403,24.307543215163054
Irion,13.0,0,0.0,1524,374,1086,54,0,0,0,0,10,1524,836,688,60,102,141,127,87,122,140,214,104,138,145,94,50,44.1,1051.5439999999999,1508,1298,1076,398,210,634,47,52,38,93,59,104,77,93,37,34,54706,75706,31449,40776,60100,33917,1.4492974140882358
Jack,149.0,3,0.020134228187919462,8842,1465,6854,415,23,12,0,11,62,8842,4987,3855,493,449,577,647,603,1157,1171,1180,557,504,863,468,173,39.7,910.94,7684,6346,4815,2637,1338,3160,212,143,423,384,350,644,320,443,104,137,51700,68400,25626,32456,56388,34067,9.70645706632709
Jackson,639.0,16,0.025039123630672927,14820,4873,8717,947,0,134,8,0,141,14820,7226,7594,1053,1104,1038,895,890,1638,1995,1693,1124,899,1309,788,394,38.5,829.443,14591,12288,9508,4568,2303,5237,408,173,504,353,667,1133,961,586,277,175,60276,71786,26329,33144,54392,31335,17.86741222724166
Jasper,511.0,34,0.06653620352250489,35504,2360,26471,5833,62,157,26,97,498,35504,17501,18003,2119,2373,2648,2238,2179,3772,3960,4620,2600,2265,3996,1867,867,40.9,938.655,34587,28798,19829,13936,5789,12583,776,882,1818,1495,1692,2065,1584,1547,335,389,46088,64734,25004,31429,57370,30417,37.82433375414822
Jeff Davis,17.0,0,0.0,2234,727,1422,18,0,51,0,0,16,2234,1114,1120,61,108,160,142,57,138,202,251,177,232,541,131,34,54.8,2264.556,2172,1877,1395,998,295,1050,60,56,137,111,151,241,181,87,23,3,53194,56213,26053,26656,43295,35606,0.9865068472583588
Jefferson,8139.0,149,0.018306917311709057,255210,51461,104869,85589,428,9401,114,251,3097,255210,130660,124550,17595,17385,16171,16490,18238,37482,32341,32075,17101,14877,19797,11079,4579,36.0,876.372,241135,191760,134334,80870,49375,94002,9049,5294,11196,10228,12312,15946,10165,11636,4656,3520,48463,68549,26205,31505,49828,37419,291.2119510892635
Jim Hogg,162.0,5,0.030864197530864196,5282,4890,371,2,0,0,0,0,19,5282,2550,2732,412,366,514,539,303,525,569,398,350,374,522,328,82,34.7,1136.173,5253,4265,2510,2389,988,1710,173,197,336,206,190,205,180,146,30,47,32049,51120,17798,22464,48097,22266,4.648939906158657
Jim Wells,1533.0,52,0.033920417482061316,41192,33060,7432,254,28,253,63,20,82,41192,20178,21014,3041,3107,3521,3174,2596,5304,5092,4722,2210,2414,3425,1980,606,34.8,865.17,40799,33303,22127,14047,7496,13043,1576,841,1850,1500,1323,2123,1573,1370,520,367,42005,62151,21274,26676,47272,26447,47.61145208456142
Johnson,3479.0,63,0.018108651911468814,163475,34048,119128,4982,644,1400,607,79,2587,163475,81568,81907,10772,12070,12313,11668,10001,20689,21405,21985,11444,8798,13666,6700,1964,36.8,724.8,161010,135010,106074,42973,26000,56433,2244,1917,4668,5002,7878,11537,8339,9364,3263,2221,62066,78174,27667,36444,49563,38541,225.5449779249448
Jones,591.0,2,0.00338409475465313,19891,5447,10613,2842,30,70,0,33,856,19891,12507,7384,888,913,1075,937,1363,3666,2979,2768,1407,927,1724,934,310,38.5,928.57,12690,10923,7686,5493,1767,5593,383,389,538,722,933,960,665,624,235,144,45694,64904,17673,26166,47568,33987,21.421109878630578
Karnes,948.0,17,0.017932489451476793,15387,8304,5645,1218,32,14,0,0,174,15387,9133,6254,852,999,881,1167,1008,2859,2028,1723,920,800,1105,705,340,34.7,747.497,12806,11029,8062,4353,1777,4246,389,257,423,501,462,720,484,460,221,329,52252,83800,26875,33956,44872,34310,20.58469799878796
Kaufman,3436.0,55,0.0160069848661234,118910,24531,77641,12799,468,1410,46,232,1783,118910,58360,60550,8545,8799,9932,8701,6654,15677,16626,15891,7933,6116,8585,4244,1207,35.6,780.675,117811,99986,77950,32365,17825,37364,1850,1531,2857,3098,4815,6821,4540,7606,2822,1424,65390,81752,27411,35454,52527,41538,152.31690524225831
Kendall,377.0,10,0.026525198938992044,41982,9894,30601,286,31,369,25,0,776,41982,20415,21567,2138,2599,3124,3123,2249,3936,5123,5786,3238,2772,4557,2356,981,42.1,662.454,41551,37727,32693,11739,3824,14159,527,307,639,1205,1303,2435,1876,2587,1281,1999,82390,120877,43241,37021,64886,45371,63.37345687398673
Kenedy,7.0,2,0.2857142857142857,595,522,72,0,0,1,0,0,0,595,286,309,85,37,40,10,10,95,47,75,51,9,85,29,22,39.5,1458.453,595,467,212,276,128,209,25,4,49,13,71,16,23,8,0,0,36125,40908,15820,29453,40848,23295,0.4079665234327057
Kent,10.0,0,0.0,749,122,613,8,6,0,0,0,0,749,327,422,33,53,34,61,12,41,79,90,65,54,146,59,22,51.8,902.507,707,668,525,245,39,318,12,43,32,41,48,47,18,42,3,32,45926,68737,29503,36875,49773,40000,0.829910460528284
Kerr,679.0,13,0.01914580265095729,51365,13702,35484,759,117,473,32,114,684,51365,24886,26479,2627,2593,2945,3036,3013,5313,4702,5826,3675,3816,7327,4509,1983,47.7,1103.326,50494,42461,31033,22022,8033,20766,992,814,2202,2562,3448,3852,2838,2414,967,677,52473,73327,30498,27148,41314,37059,46.55469009159577
Kimble,21.0,1,0.047619047619047616,4408,1114,3193,1,17,0,0,16,67,4408,2154,2254,270,203,203,332,160,247,432,440,360,488,701,399,173,52.9,1250.985,4356,3355,2268,1890,1001,1948,147,114,208,296,384,311,196,154,37,101,42500,64992,28899,23284,34747,23662,3.523623384772799
King,1.0,0,0.0,228,38,190,0,0,0,0,0,0,228,118,110,17,15,20,15,2,23,21,23,46,13,18,15,0,46.5,910.872,228,210,150,73,18,91,0,3,0,13,24,15,13,18,0,5,65125,75557,31564,36964,42250,32250,0.2503095934445235
Kinney,72.0,1,0.013888888888888888,3675,2297,1375,3,0,0,0,0,0,3675,2290,1385,87,152,283,190,216,579,391,502,346,178,501,122,128,41.7,1360.055,3419,2919,1772,1586,500,1170,84,82,305,173,123,114,121,144,15,9,31468,49372,20323,30444,41530,35125,2.7020966063872414
Kleberg,999.0,51,0.05105105105105105,31425,22849,6419,907,16,695,0,64,475,31425,16052,15373,2222,2295,1915,2953,4777,4366,3270,2828,1301,1461,2274,1283,480,28.0,881.306,30628,25323,17697,11055,5305,10946,1647,669,1436,928,1720,1454,1165,1241,399,287,42021,58413,21986,24008,49596,30959,35.657308585213315
Knox,111.0,8,0.07207207207207207,3733,1269,2191,213,4,5,0,0,51,3733,1853,1880,279,272,316,239,250,378,319,460,248,289,334,242,107,39.5,850.625,3590,3022,2051,1452,568,1330,115,55,181,191,167,214,205,153,31,18,46146,57553,21796,29537,43333,37692,4.388537839823658
Lamar,1644.0,13,0.007907542579075427,7409,6104,1125,94,0,12,0,0,74,7409,4408,3001,508,532,287,418,605,1499,887,985,363,291,665,331,38,33.8,1486.704,6471,4846,3469,2035,1625,2216,152,249,227,89,315,677,157,82,147,121,51792,79335,25129,23943,38947,28830,4.983507140627859
Lamb,482.0,45,0.09336099585062241,49532,3804,37005,6135,194,429,111,19,1835,49532,23917,25615,3327,2989,3421,3276,2843,5932,5656,6370,3259,3232,5256,3069,902,40.8,907.181,48942,40530,27453,19037,8412,19313,2147,1202,2209,2341,2828,3374,2168,1949,676,419,43562,59148,23833,28920,47543,31120,54.59990894871034
Lampasas,298.0,23,0.07718120805369127,13262,7325,5252,442,33,72,0,0,138,13262,6710,6552,970,1059,1071,934,877,1571,1448,1536,918,734,1050,777,317,36.0,1016.181,13062,10062,6496,4833,3000,4754,334,485,542,616,713,948,436,478,72,130,43396,57348,21506,27217,40910,31167,13.050824607033588
La Salle,369.0,9,0.024390243902439025,20640,4025,14980,903,25,208,63,78,358,20640,10187,10453,1136,1114,1510,1497,967,2185,2601,2851,1434,1582,2294,1070,399,42.2,712.841,20242,17253,13784,7502,2989,7738,631,229,605,610,1328,1449,974,1088,516,308,58194,73074,28158,30331,52763,35051,28.954563500135368
Lavaca,1110.0,39,0.03513513513513514,19941,3694,14734,1255,9,71,0,2,176,19941,9684,10257,1189,1405,1388,1193,1034,2062,1939,2394,1318,1470,2356,1483,710,43.5,969.709,19506,17325,13831,6348,2181,7756,345,627,775,714,1169,1386,814,1133,377,416,53021,77669,31670,32738,47562,34030,20.563901129101623
Lee,235.0,14,0.059574468085106386,16952,3970,10773,1889,0,165,0,26,129,16952,8558,8394,913,1169,938,1406,954,1669,2124,2162,1207,1304,1724,1017,365,41.5,629.04,16491,14397,11420,5353,2094,6104,376,445,598,491,866,1354,803,686,296,189,55000,67793,25876,31188,47531,33876,26.949001653312987
Leon,319.0,11,0.034482758620689655,17098,2457,13048,1174,85,136,52,0,146,17098,8602,8496,1075,1143,1039,1039,777,1680,1789,1938,1255,1276,2351,1208,528,45.0,1073.156,17003,13948,9834,7052,3055,6249,349,367,789,908,828,892,699,743,293,381,44818,80589,32130,30530,53154,30528,15.932445981758478
Liberty,2266.0,57,0.025154457193292144,81862,19098,52825,8062,311,500,8,37,1021,81862,40439,41423,5715,5789,5927,5526,5518,11704,10271,10863,5591,4421,6603,3154,780,35.7,1158.385,74715,60494,40606,26179,14221,26203,1660,1546,3015,3099,3818,5087,3194,2970,934,880,49850,66052,22757,33609,50966,35476,70.66907806989904
Limestone,659.0,16,0.024279210925644917,23515,5101,13816,4058,90,177,63,60,150,23515,12056,11459,1508,1359,1544,1614,1391,2907,2780,2869,1560,1700,2541,1307,435,40.0,905.43,22659,17953,11644,9453,4706,8169,664,530,1097,1152,1263,1608,669,777,281,128,42680,57409,21822,25553,36608,31293,25.971085561556393
Lipscomb,66.0,1,0.015151515151515152,3469,1051,2252,18,69,9,0,0,70,3469,1840,1629,268,305,203,248,170,553,316,399,248,229,262,181,87,34.9,932.186,3424,2773,2284,903,651,1256,57,101,80,159,127,236,206,181,68,41,57372,73911,28491,31290,54271,28693,3.721360329376326
Live Oak,381.0,10,0.026246719160104987,12123,4782,6847,336,0,117,0,0,41,12123,6634,5489,655,539,807,767,568,1783,1531,1396,814,840,1372,757,294,42.2,1039.695,10652,8609,6273,3721,2043,3675,151,305,381,424,383,885,316,548,155,127,55766,67552,24244,29286,49242,39518,11.66015033254945
Llano,165.0,2,0.012121212121212121,20640,2113,17880,26,28,82,0,0,511,20640,10138,10502,796,886,811,715,870,1804,1431,2432,1363,2114,3982,2674,762,57.6,934.052,20429,17006,12501,9925,3423,8491,483,461,844,1059,1192,1478,995,1056,427,496,52178,82567,35822,23514,42361,36338,22.09727081575758
Loving,0.0,0,0.0,102,16,83,0,3,0,0,0,0,102,58,44,19,5,0,0,3,11,11,0,14,14,22,3,0,55.4,668.818,102,91,88,25,11,33,0,3,0,3,3,6,2,16,0,0,81875,75148,23546,-666666666,101667,61250,0.1525078571449931
Lubbock,16130.0,158,0.009795412275263484,301454,105514,162667,20528,1067,6328,182,223,4945,301454,148631,152823,20437,19739,20780,25447,37594,44283,34465,31396,16549,14674,20375,11331,4384,30.7,895.6039999999997,297274,257051,201564,85161,40223,112185,10219,5492,12064,12034,15870,19608,13614,13681,4690,4913,50473,71043,27089,26321,45699,35418,336.59295849504923
Lynn,160.0,5,0.03125,5808,2751,2852,61,21,43,4,0,76,5808,2977,2831,393,480,434,406,290,692,690,716,361,368,519,364,95,38.2,891.867,5766,4755,3221,2261,1011,2133,184,184,283,202,339,290,171,300,66,114,43524,66719,25279,28134,40344,31563,6.512181749072451
McCulloch,194.0,6,0.030927835051546393,14128,3230,7815,2111,27,441,26,14,464,14128,8127,6001,648,978,948,565,1300,2721,1889,1597,608,812,1102,742,218,34.7,466.065,10531,9029,6486,3820,1502,4201,276,265,530,579,472,808,315,676,170,110,49428,65516,17856,26016,46455,26530,30.313368306995805
McLennan,9573.0,14,0.001462446464013371,10083,406,7142,2361,43,0,38,0,93,10083,4915,5168,435,536,554,606,379,911,1016,1367,851,884,1500,896,148,50.1,380.884,9954,8722,5681,4726,1232,4459,468,398,689,543,781,552,398,279,128,223,37283,60527,27052,28721,43750,30370,26.472626836517158
McMullen,24.0,7,0.2916666666666667,5614,2574,2978,48,8,4,2,0,0,5614,2934,2680,468,467,545,443,401,641,606,854,311,223,378,235,42,32.2,914.956,5543,4845,4001,1230,698,1626,72,50,142,141,229,233,214,217,146,182,69722,94582,29225,32131,53162,36635,6.135814181228388
