county_name,total_cases,total_fatalities,death_rate,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density
Bexar,51876.0,1386,0.026717557251908396,1925865,1155505,539435,136411,2863,52513,1589,2655,34894,1925865,950030,975835,138622,138871,139171,139336,145695,305358,258061,234677,108990,93279,132567,65095,26143,33.4,1240.215,1895810,1608911,1205586,592223,286899,632574,45419,29186,62202,63892,84130,118346,79146,87038,31270,31945,55456,76006,26988,30196,43005,37258,1552.8476917308694
Blanco,153.0,6,0.0392156862745098,11279,2173,8712,2,0,165,39,0,188,11279,5781,5498,461,572,605,685,493,854,1266,1565,1075,1006,1706,779,212,49.9,709.25,11176,9163,7531,3669,2013,4297,167,151,401,353,657,851,465,699,268,285,63071,85285,34925,29346,47961,34068,15.902714134649276
Borden,2.0,0,0.0,665,56,595,0,0,0,0,0,14,665,346,319,90,17,30,42,23,90,61,58,43,38,105,49,19,42.5,897.443,665,634,526,226,31,261,7,10,10,16,25,49,45,80,10,9,81985,85046,33781,48405,54375,41094,0.7409941355606986
Bosque,385.0,10,0.025974025974025976,18122,3263,14167,280,59,92,0,0,261,18122,8935,9187,970,929,1294,1065,875,1725,1833,2292,1430,1281,2525,1377,526,46.7,982.9810000000001,17776,14594,10791,6652,3182,7088,326,336,858,802,1144,1428,883,879,223,209,50882,65377,26039,27515,42188,35702,18.435758168265714
Bowie,1730.0,72,0.04161849710982659,93858,7098,60017,22765,822,997,17,49,2093,93858,47275,46583,6060,6076,6476,5542,6215,12531,12537,11786,6160,5483,8611,4656,1725,38.1,885.002,88388,75530,54941,31804,12858,33731,3254,2119,3718,3703,4815,5944,3927,3732,1289,1230,47505,67304,25355,30728,46748,31783,106.0539976180845
Brazoria,12060.0,181,0.015008291873963516,353999,106731,170322,47228,1013,22670,21,595,5419,353999,179060,174939,25013,27824,25997,23891,21058,49737,51803,47776,22350,18570,24779,11542,3659,35.6,1362.305,342641,296664,249624,74395,45977,118762,5192,4020,7424,8635,11253,20118,17046,23348,11298,10428,79270,97877,33547,43466,63626,47711,259.8529697828313
Brazos,7337.0,66,0.008995502248875561,219193,55519,122867,22279,211,13706,46,296,4269,219193,111074,108119,13546,11996,12633,21795,43936,35033,23625,19887,9539,8296,11177,5609,2121,26.2,585.513,214943,186806,160590,43733,28137,79053,9557,4364,8937,8310,10293,11863,8810,9410,3522,3987,46839,70257,26539,23430,45944,36787,374.3606034366445
Brewster,246.0,5,0.02032520325203252,9216,4099,4722,21,168,111,0,16,79,9216,4558,4658,487,507,529,418,543,1160,1223,1020,628,714,1215,619,153,43.3,6183.762,9131,7595,6095,2889,1536,3942,411,196,427,406,900,452,436,436,180,98,43894,60719,27227,26960,43527,35940,1.4903549004635044
Briscoe,20.0,1,0.05,1546,545,885,38,0,0,17,0,61,1546,831,715,82,67,74,93,134,150,149,215,118,100,182,149,33,46.3,900.0010000000003,1546,1208,938,539,338,632,47,18,118,79,90,115,69,53,28,15,42647,58155,24286,29741,37852,35139,1.7177758691379228
Brooks,341.0,23,0.06744868035190615,7180,6741,400,4,0,0,0,0,35,7180,3724,3456,501,494,503,561,978,831,801,747,302,349,649,412,52,32.7,943.355,6638,5185,2656,3129,1453,2052,392,104,393,318,205,305,136,181,9,9,27378,41408,13800,12964,29219,22227,7.611132606494904
Brown,640.0,28,0.04375,37834,8299,27253,1340,140,281,0,0,521,37834,18774,19060,2053,2158,2724,2768,2409,4417,4208,4717,2801,2343,4129,2309,798,41.3,944.452,36773,31720,23282,13893,5053,14016,1033,705,1708,2015,2068,2654,1500,1532,368,433,45457,64580,25145,28531,41504,31092,40.05920893809321
Burleson,421.0,6,0.014251781472684086,17863,3657,11617,2240,52,40,0,8,249,17863,8977,8886,1092,1152,1009,1174,1040,1986,2000,2102,1281,1399,2103,1120,405,42.6,659.034,17692,14742,11094,6344,2950,6754,438,347,618,557,965,1400,990,925,308,206,56235,72427,28732,35256,49075,38347,27.10482311989973
Burnet,854.0,13,0.01522248243559719,45750,10120,33745,831,292,383,0,0,379,45750,22642,23108,2423,2502,3042,2908,2760,4428,5283,5471,3465,3529,5930,3054,955,44.2,994.265,45246,38384,29864,16358,6862,16849,581,692,1847,1679,2231,3469,2362,2399,658,931,59238,79066,30507,27171,46182,36201,46.01388965718395
Caldwell,1675.0,37,0.02208955223880597,41401,21312,16686,2425,136,401,26,0,415,41401,20893,20508,2577,2943,2606,3361,3419,5517,5119,5109,2834,2354,3347,1490,725,35.4,545.234,39420,31017,21963,12887,8403,13225,1002,611,1210,1415,2010,2634,1766,1631,529,417,52278,69537,23881,28604,39793,33974,75.93253538847542
Calhoun,880.0,9,0.010227272727272727,21807,10564,9314,528,3,998,17,0,383,21807,11062,10745,1488,1533,1503,1580,1228,2795,2530,2732,1646,1103,2076,1041,552,37.7,506.839,21584,17492,12854,6878,4092,7604,561,280,677,812,1111,1472,883,1204,453,151,55469,70543,26596,31759,47057,29847,43.0254972486332
Callahan,112.0,4,0.03571428571428571,13770,1300,11900,66,11,39,0,0,454,13770,6763,7007,733,799,1118,848,635,1520,1474,1825,1035,1032,1565,927,259,42.9,899.372,13684,11151,8738,4562,2533,5319,654,259,648,577,726,1029,609,458,251,108,44602,59335,24537,30114,41783,30405,15.310683454677264
Cameron,23871.0,970,0.040635080222864564,421750,377439,38334,1673,543,2786,38,272,665,421750,204788,216962,35652,35812,36879,36264,31611,51385,52290,47020,21969,18687,30250,17532,6399,31.5,891.049,419590,299693,159381,161742,119897,123185,15581,10253,18048,15287,16034,19950,11427,10744,3505,2356,37132,53211,16587,22122,32335,27248,473.31852681502363
Camp,388.0,13,0.03350515463917526,12813,3159,7176,2122,52,44,0,0,260,12813,6220,6593,953,961,909,853,792,1400,1318,1696,835,795,1335,708,258,38.7,195.847,12760,10639,7583,4746,2121,4692,449,259,514,692,686,862,632,404,158,36,42604,56091,20898,28550,41320,30332,65.42351937992412
Carson,52.0,0,0.0,6032,600,5186,78,79,31,0,0,58,6032,2820,3212,365,435,455,465,280,704,706,739,431,395,596,336,125,40.3,920.235,6003,5319,4596,1437,684,2247,84,64,234,189,223,432,323,419,116,163,70087,84978,32917,41216,55800,40615,6.5548474031089885
Cass,477.0,22,0.04612159329140461,30087,1335,22983,5177,10,110,1,6,465,30087,14692,15395,1482,1958,2162,1926,1420,3156,3314,3927,2148,2120,3653,2048,773,43.4,936.957,29691,25112,17684,11986,4579,11789,1060,695,1466,1522,1829,2075,1316,1298,295,233,45345,56515,22545,31162,41784,29961,32.111398922255766
Castro,289.0,6,0.020761245674740483,7787,5003,2523,70,11,92,1,4,83,7787,3905,3882,604,765,574,595,532,785,963,856,477,485,678,324,149,35.3,894.444,7696,5687,3649,2893,2009,2532,148,133,247,356,499,478,306,197,116,52,45000,59313,20915,30607,37044,35971,8.70596705886562
Chambers,1524.0,8,0.005249343832020997,40292,8793,27186,3158,85,506,0,0,564,40292,20377,19915,2794,3250,3140,3022,2524,5286,5489,5660,2550,2169,2831,1201,376,35.4,597.153,40076,34357,28005,9562,5719,13529,728,679,985,1064,1562,1600,1538,2461,1585,1327,76850,98290,34372,40931,75949,40444,67.47349506742827
Cherokee,1616.0,32,0.019801980198019802,51903,11855,31641,7008,270,180,43,0,906,51903,26607,25296,3651,3897,3435,3731,3369,6056,6130,6506,2926,3427,5071,2665,1039,37.8,1052.955,49308,40034,27340,19786,9274,17940,1188,1153,2366,2010,2934,3537,1808,1722,829,393,46044,60376,21520,27466,40581,33459,49.29270481644515
Childress,107.0,0,0.0,7226,2241,4172,552,69,96,0,0,96,7226,4449,2777,345,384,409,394,736,1813,878,601,316,395,436,383,136,30.9,696.5110000000003,5805,4810,3865,1841,995,2235,236,80,259,361,334,428,167,216,117,37,40794,58832,20234,26674,47958,30625,10.374566948691404
Clay,103.0,2,0.019417475728155338,10387,616,9356,59,114,60,0,0,182,10387,5195,5192,464,607,675,606,541,984,1154,1342,800,903,1340,721,250,46.2,1088.758,10321,8885,6666,3970,1436,4045,208,219,472,479,594,729,510,520,166,148,51191,68492,27678,30421,54855,32134,9.540228407047296
Cochran,90.0,1,0.011111111111111112,2904,1684,1068,96,0,0,0,0,56,2904,1491,1413,215,247,208,242,124,447,346,277,205,153,222,188,30,34.5,775.082,2879,2073,1268,1018,806,996,90,112,126,97,141,152,101,117,49,11,42798,57710,21014,30918,40234,32976,3.7467003491243513
Coke,90.0,5,0.05555555555555555,3275,698,2475,20,44,6,0,0,32,3275,1606,1669,103,125,279,209,92,212,426,465,255,217,492,304,96,50.3,911.635,3177,2765,2109,1208,412,1617,127,94,228,192,297,276,206,163,22,12,45551,53056,24768,30924,47044,30402,3.5924465383623927
Coleman,85.0,4,0.047058823529411764,8391,1465,6463,254,39,79,0,0,91,8391,4220,4171,504,539,517,385,305,989,822,985,718,617,1120,748,142,46.5,1262.914,8358,6437,4525,3383,1921,3460,312,145,501,366,697,642,313,238,70,176,43981,64448,27842,31159,41204,29188,6.6441578761499205
Collin,17122.0,174,0.010162364209788576,944350,143369,547403,88702,3132,135508,582,2691,22963,944350,464248,480102,59858,69836,76360,67986,53580,120753,151930,143663,56656,45688,62711,26801,8528,36.6,841.2760000000003,941564,843739,757027,153370,97825,331336,10888,5742,14782,18352,30711,51452,42804,69454,39903,47248,94192,120691,43439,50063,76606,53878,1122.521027581911
Collingsworth,20.0,0,0.0,2996,834,1878,195,68,0,0,0,21,2996,1496,1500,185,191,245,171,201,321,383,351,233,173,313,124,105,39.2,918.441,2929,2266,1320,1222,663,1055,83,42,152,194,135,199,147,50,27,26,42750,60536,22880,22417,34964,26613,3.2620494947416327
Colorado,498.0,4,0.008032128514056224,21022,6200,11855,2655,27,7,0,0,278,21022,10538,10484,1363,1288,1493,1397,1145,2054,2233,2440,1280,1866,2467,1356,640,42.5,960.284,20703,17886,13815,6868,2817,7511,386,381,894,891,1244,1345,935,678,428,329,49504,70324,27861,30469,41853,34692,21.89144044886721
Comal,2823.0,106,0.0375487070492384,135097,36612,91969,2544,97,1403,45,140,2287,135097,66793,68304,7855,8111,9355,8623,7284,14986,16199,18761,9448,10508,14757,6482,2728,42.0,559.512,133918,117455,98182,38832,16463,48903,2017,1437,2986,3659,5974,8230,7418,8321,3838,5023,75356,98131,36899,36948,55209,43405,241.45505368964385
Comanche,348.0,5,0.014367816091954023,13495,3729,9438,87,54,74,0,1,112,13495,6738,6757,762,809,900,1012,572,1278,1438,1646,837,980,1826,1088,347,44.8,937.753,13292,10885,7999,5122,2407,5260,397,334,608,532,893,999,638,681,91,87,47893,60948,25127,30762,41545,30548,14.390783074007759
Concho,141.0,2,0.014184397163120567,4233,2372,1706,89,6,48,0,0,12,4233,2802,1431,121,188,133,575,226,502,588,643,261,241,428,225,102,41.9,983.755,3068,2544,1957,1028,524,873,66,67,128,116,93,175,63,126,13,26,43355,61808,17684,23994,33772,20735,4.302900620581344
Cooke,524.0,8,0.015267175572519083,39571,7043,29979,967,221,357,17,40,947,39571,19660,19911,2677,2627,2440,2643,2550,4818,4226,4932,2641,2973,4111,2154,779,40.4,874.81,39107,33276,25615,12832,5831,15368,692,532,1453,1811,2470,2639,2061,2425,688,597,57646,73257,28751,32021,47181,35469,45.233822201392314
Coryell,1937.0,13,0.006711409395973154,75389,13631,44478,9991,472,1476,569,0,4772,75389,37630,37759,5353,4750,5146,4458,8425,14423,10877,8429,3643,2872,4224,1970,819,31.5,1052.1989999999996,57922,52188,43175,18655,5734,22314,1193,988,2314,2666,3647,4875,2966,2761,527,377,51440,64278,21507,27227,35608,32747,71.64899415414767
Cottle,33.0,3,0.09090909090909091,1623,382,867,243,5,0,0,89,37,1623,792,831,166,137,158,98,31,180,79,229,116,79,209,102,39,37.9,900.564,1623,1402,666,956,221,686,77,57,109,105,125,119,46,14,20,14,34375,47243,20108,21934,40526,26250,1.802203952189961
Crane,73.0,2,0.0273972602739726,4839,3080,1548,189,3,19,0,0,0,4839,2511,2328,381,381,473,479,239,639,574,569,317,206,330,196,55,32.4,785.069,4738,3976,3301,1013,762,1422,77,29,154,51,120,328,240,303,53,67,70398,79681,26113,34238,57929,28816,6.163789424878577
Crockett,166.0,7,0.04216867469879518,3633,2306,1295,32,0,0,0,0,0,3633,1771,1862,303,321,209,305,96,528,364,513,112,343,336,163,40,35.9,2807.324,3559,3018,2241,910,541,1388,108,89,194,85,153,336,84,266,67,6,51152,63225,24852,33403,43162,27227,1.2941149649986965
Crosby,108.0,6,0.05555555555555555,5861,3261,2330,210,0,14,0,3,43,5861,2921,2940,400,393,534,454,327,643,725,580,391,356,560,374,124,38.1,900.199,5780,4602,2780,2446,1178,2044,218,151,288,292,363,324,210,128,30,40,37899,50926,19155,23740,35793,26250,6.51078261584383
