county_name,total_cases,total_fatalities,death_rate
Maverick,4084.0,1,0.0002448579823702253
Medina,1257.0,48,0.03818615751789976
Menard,49.0,0,0.0
Midland,4666.0,75,0.01607372481783112
Milam,539.0,7,0.012987012987012988
Mills,71.0,1,0.014084507042253521
Mitchell,154.0,2,0.012987012987012988
Montague,245.0,5,0.02040816326530612
Montgomery,12410.0,172,0.01385979049153908
Moore,1289.0,22,0.017067494181536073
Morris,209.0,5,0.023923444976076555
Motley,14.0,0,0.0
Nacogdoches,1768.0,68,0.038461538461538464
Navarro,1393.0,32,0.02297200287150036
Newton,188.0,13,0.06914893617021277
Nolan,378.0,5,0.013227513227513227
Nueces,16136.0,405,0.025099157164105105
Ochiltree,279.0,5,0.017921146953405017
Oldham,27.0,2,0.07407407407407407
Orange,2116.0,46,0.021739130434782608
Palo Pinto,677.0,17,0.025110782865583457
Panola,455.0,28,0.06153846153846154
Parker,2299.0,45,0.019573727707699
Parmer,547.0,18,0.03290676416819013
Pecos,423.0,6,0.014184397163120567
Polk,912.0,32,0.03508771929824561
Potter,7342.0,85,0.011577226913647508
Presidio,124.0,7,0.056451612903225805
Rains,85.0,5,0.058823529411764705
Randall,4532.0,50,0.011032656663724626
Reagan,90.0,6,0.06666666666666667
Real,122.0,8,0.06557377049180328
Red River,190.0,17,0.08947368421052632
Reeves,249.0,6,0.024096385542168676
Refugio,305.0,16,0.05245901639344262
Roberts,14.0,0,0.0
Robertson,402.0,4,0.009950248756218905
Rockwall,1838.0,32,0.017410228509249184
Runnels,287.0,9,0.0313588850174216
Rusk,990.0,21,0.021212121212121213
Sabine,89.0,9,0.10112359550561797
San Augustine,214.0,15,0.07009345794392523
San Jacinto,236.0,11,0.046610169491525424
San Patricio,1549.0,80,0.051646223369916075
San Saba,112.0,1,0.008928571428571428
Schleicher,55.0,2,0.03636363636363636
Scurry,995.0,12,0.012060301507537688
Shackelford,35.0,0,0.0
Shelby,542.0,30,0.055350553505535055
Sherman,72.0,1,0.013888888888888888
Smith,4269.0,127,0.02974935582103537
Somervell,156.0,5,0.03205128205128205
Starr,3492.0,182,0.05211912943871707
Stephens,154.0,4,0.025974025974025976
Sterling,12.0,0,0.0
Stonewall,18.0,1,0.05555555555555555
Sutton,97.0,3,0.030927835051546393
Swisher,137.0,3,0.021897810218978103
Tarrant,54727.0,801,0.014636285562884864
Taylor,1785.0,63,0.03529411764705882
Terrell,4.0,0,0.0
Terry,487.0,7,0.014373716632443531
Throckmorton,17.0,2,0.11764705882352941
Titus,1562.0,35,0.02240717029449424
Tom Green,2526.0,77,0.030482977038796516
Travis,31159.0,439,0.014089027247344267
Trinity,205.0,7,0.03414634146341464
Tyler,259.0,4,0.015444015444015444
Upshur,467.0,12,0.02569593147751606
Upton,27.0,3,0.1111111111111111
Uvalde,824.0,36,0.043689320388349516
Val Verde,2431.0,124,0.051007815713698064
Van Zandt,662.0,26,0.03927492447129909
Victoria,4224.0,97,0.022964015151515152
Walker,3854.0,62,0.01608718214841723
Waller,951.0,17,0.017875920084121977
Ward,157.0,1,0.006369426751592357
Washington,692.0,48,0.06936416184971098
Webb,14909.0,325,0.021798913408008585
Wharton,1415.0,58,0.04098939929328622
Wheeler,62.0,0,0.0
Wichita,3134.0,31,0.009891512444160817
Wilbarger,308.0,3,0.00974025974025974
Willacy,1202.0,55,0.045757071547420966
Williamson,9137.0,151,0.01652621210462953
Wilson,982.0,28,0.028513238289205704
Winkler,136.0,4,0.029411764705882353
Wise,881.0,15,0.0170261066969353
Wood,621.0,36,0.057971014492753624
Yoakum,289.0,5,0.01730103806228374
Young,497.0,6,0.012072434607645875
Zapata,342.0,9,0.02631578947368421
Zavala,452.0,18,0.03982300884955752
